町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,ごうかけ,ゴウカケ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,溝口,ミゾグチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,庄原,ショウバラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,松越,マツコシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,上島,ウワシマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,大股,オオマタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,八海山,ハッカイサン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,幕島,マクジマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,淀地,ヨドチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000110,3,,,,,,,鈴ヶ沢,スズガサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0003000,1,滝越,タキゴシ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0004000,1,此島,コノシマ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0005000,1,二子持,フタコモチ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0006000,1,崩越,クズコシ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0009000,1,田島,タジマ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0010000,1,瀬戸,セト,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0011000,1,池の越,イケノコシ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0012000,1,松原,マツバラ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0014000,1,中越,ナカゴシ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0018000,1,小川,オガワ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
0019000,1,野口,ノグチ,,,,,,,,0,0,1,0,0,0,0,0,1947-04-17,,0 ,,
