町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,潟原,カタバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,漢那,カンナ,Kanna,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9041304,
0000103,3,,,,,,,宜野座,ギノザ,Ginoza,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9041302,
0000104,3,,,,,,,兼久,カニク,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,高松,タカマツ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,松田,マツダ,Matsuda,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9041301,
0000107,3,,,,,,,城原,グシクバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,前原,メーバル,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,惣慶,ソケイ,Sokei,0,0,0,1,0,0,0,0,1947-04-17,,0 ,9041303,
0000110,3,,,,,,,大久保,オオクボ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000111,3,,,,,,,福山,フクヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,字松田,アザマツダ,Matsuda,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9041301,
0002000,1,字宜野座,アザギノザ,Ginoza,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9041302,
0003000,1,字惣慶,アザソケイ,Sokei,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9041303,
0004000,1,字漢那,アザカンナ,Kanna,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9041304,
