町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,下,シモ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,下影,シタカゲ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,角新田,スミシンデン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,御門,ミカド,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,御林,オハヤシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,座又,ザマタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,三ッ家,ミツヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,篠山,シノヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,宿通,シュクドオリ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000110,3,,,,,,,松原,マツバラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000111,3,,,,,,,上,カミ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000112,3,,,,,,,西,ニシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000113,3,,,,,,,中,ナカ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000114,3,,,,,,,中根,ナカネ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000115,3,,,,,,,中之内,ナカノウチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000116,3,,,,,,,本新田,モトシンデン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000117,3,,,,,,,野木原,ノギハラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000118,3,,,,,,,矢畑,ヤバタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,大字潤島,オオアザウルウジマ,Urujima,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290102,
0002000,1,大字川田,オオアザカワダ,Kawada,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290105,
0003000,1,大字佐川野,オオアザサガワノ,Sagawano,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290104,
0004000,1,大字友沼,オオアザトモヌマ,Tomonuma,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290101,
0005000,1,大字中谷,オオアザナカヤ,Nakaya,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290113,
0006000,1,大字野木,オオアザノギ,Nogi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290114,
0007000,1,大字野渡,オオアザノワタ,Nowata,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290115,
0008000,1,大字丸林,オオアザマルバヤシ,Marubayashi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290111,
0009000,1,大字南赤塚,オオアザミナミアカツカ,Minamiakatsuka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290112,
0010000,1,大字若林,オオアザワカハヤシ,Wakabayashi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3290103,
0011000,1,大字南飯田,オオアザミナミイイダ,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
