全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
352012,山口県,ヤマグチケン,Yamaguchi,,,,下関市,シモノセキシ,Shimonoseki-shi,,,,1947-04-17,,
352021,山口県,ヤマグチケン,Yamaguchi,,,,宇部市,ウベシ,Ube-shi,,,,1947-04-17,,
352039,山口県,ヤマグチケン,Yamaguchi,,,,山口市,ヤマグチシ,Yamaguchi-shi,,,,1947-04-17,,
352047,山口県,ヤマグチケン,Yamaguchi,,,,萩市,ハギシ,Hagi-shi,,,,1947-04-17,,
352063,山口県,ヤマグチケン,Yamaguchi,,,,防府市,ホウフシ,Hofu-shi,,,,1947-04-17,,
352071,山口県,ヤマグチケン,Yamaguchi,,,,下松市,クダマツシ,Kudamatsu-shi,,,,1947-04-17,,
352080,山口県,ヤマグチケン,Yamaguchi,,,,岩国市,イワクニシ,Iwakuni-shi,,,,1947-04-17,,
352101,山口県,ヤマグチケン,Yamaguchi,,,,光市,ヒカリシ,Hikari-shi,,,,1947-04-17,,
352110,山口県,ヤマグチケン,Yamaguchi,,,,長門市,ナガトシ,Nagato-shi,,,,1947-04-17,,
352128,山口県,ヤマグチケン,Yamaguchi,,,,柳井市,ヤナイシ,Yanai-shi,,,,1947-04-17,,
352136,山口県,ヤマグチケン,Yamaguchi,,,,美祢市,ミネシ,Mine-shi,,,,1947-04-17,,
352152,山口県,ヤマグチケン,Yamaguchi,,,,周南市,シュウナンシ,Shunan-shi,,,,1947-04-17,,
352161,山口県,ヤマグチケン,Yamaguchi,,,,山陽小野田市,サンヨウオノダシ,Sanyoonoda-shi,,,,1947-04-17,,
353051,山口県,ヤマグチケン,Yamaguchi,大島郡,オオシマグン,Oshima-gun,周防大島町,スオウオオシマチョウ,Suooshima-cho,,,,1947-04-17,,
353213,山口県,ヤマグチケン,Yamaguchi,玖珂郡,クガグン,Kuga-gun,和木町,ワキチョウ,Waki-cho,,,,1947-04-17,,
353418,山口県,ヤマグチケン,Yamaguchi,熊毛郡,クマゲグン,Kumage-gun,上関町,カミノセキチョウ,Kaminoseki-cho,,,,1947-04-17,,
353434,山口県,ヤマグチケン,Yamaguchi,熊毛郡,クマゲグン,Kumage-gun,田布施町,タブセチョウ,Tabuse-cho,,,,1947-04-17,,
353442,山口県,ヤマグチケン,Yamaguchi,熊毛郡,クマゲグン,Kumage-gun,平生町,ヒラオチョウ,Hirao-cho,,,,1947-04-17,,
355020,山口県,ヤマグチケン,Yamaguchi,阿武郡,アブグン,Abu-gun,阿武町,アブチョウ,Abu-cho,,,,1947-04-17,,
