町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001000,1,字相川,アザアイカワ,Aikawa,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440215,
0002000,1,字金山,アザカナヤマ,Kanayama,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440454,
0003000,1,字川上,アザカワカミ,Kawakami,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440223,
0004000,1,字喜茂別,アザキモベツ,Kimobetsu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440201,
0005000,1,字栄,アザサカエ,Sakae,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440222,
0006000,1,字尻別,アザシリベツ,Shiribetsu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440214,
0007000,1,字鈴川,アザスズカワ,Suzukawa,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440451,
0008000,1,字壮園,アザソウエン,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0009000,1,字知来別,アザチライベツ,Chiraibetsu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440224,
0010000,1,字中里,アザナカサト,Nakasato,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440461,
0011000,1,字花丘,アザハナオカ,Hanaoka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440462,
0012000,1,字比羅岡,アザヒラオカ,Hiraoka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440213,
0013000,1,字福丘,アザフクオカ,Fukuoka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440452,
0014000,1,字福島,アザフクシマ,Fukushima,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440225,
0015000,1,字伏見,アザフシミ,Fushimi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440221,
0016000,1,字富士見台,アザフジミダイ,Fujimidai,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440211,
0017000,1,字双葉,アザフタバ,Futaba,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440463,
0018000,1,字御園,アザミソノ,Misono,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440453,
0019000,1,字留産,アザルサン,Rusan,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0440212,
