町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001000,1,朝日町,アサヒチョウ,Asahicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391013,
0002000,1,池沢町,イケザワチョウ,Ikezawacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391032,
0003000,1,池之内町,イケノウチチョウ,Ikenochicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391027,
0004000,1,石川町,イシカワチョウ,Ishikawacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391111,
0005000,1,泉原町,イズミハラチョウ,Izumiharacho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391056,
0006000,1,櫟枝町,イチエダチョウ,Ichiedacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391113,
0007000,1,伊豆七条町,イヅシチジョウチョウ,Izushichijocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391116,
0008000,1,井戸野町,イドノチョウ,Idonocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391104,
0009000,1,藺町,イノマチ,Inomachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391158,
0010000,1,今井町,イマイマチ,Imaimachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391155,
0011000,1,今国府町,イマゴウチョウ,Imagocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391031,
0012000,1,植槻町,ウエツキチョウ,Uetsukicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391005,
0013000,1,魚町,ウオマチ,Uomachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391168,
0014000,1,永慶寺町,エイケイジチョウ,Eikeijicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391019,
0015000,1,大江町,オオエチョウ,Oecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391106,
0016000,1,大宮町,オオミヤチョウ,Omiyacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391138,
0017000,1,柏木町,カシワギチョウ,Kashiwagicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391034,
0018000,1,上三橋町,カミミツハシチョウ,Kamimitsuhashicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391102,
0019000,1,冠山町,カンザンチョウ,Kanzancho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391018,
0020000,1,観音寺町,カンノンジチョウ,Kannonjicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391161,
0021000,1,北鍛冶町,キタカジマチ,Kitakajimachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391165,
0022000,1,北郡山町,キタコオリヤマチョウ,Kitakoriyamacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391160,
0023000,1,北大工町,キタダイクマチ,Kitadaikumachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391146,
0024000,1,北西町,キタニシチョウ,Kitanishicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391025,
0025000,1,九条町,クジョウチョウ,Kujocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391001,
0026000,1,九条平野町,クジョウヒラノチョウ,Kujohiranocho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391002,
0027000,1,車町,クルママチ,Kurumamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391147,
0028000,1,小泉町,コイズミチョウ,Koizumicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391042,
0029001,2,小泉町東,コイズミチョウヒガシ,Koizumicho Higashi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0029002,2,小泉町東,コイズミチョウヒガシ,Koizumicho Higashi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0029003,2,小泉町東,コイズミチョウヒガシ,Koizumicho Higashi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0030000,1,小林町,コバヤシチョウ,Kobayashicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391026,
0031001,2,小林町西,コバヤシチョウニシ,Kobayashicho Nishi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0031002,2,小林町西,コバヤシチョウニシ,Kobayashicho Nishi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0031003,2,小林町西,コバヤシチョウニシ,Kobayashicho Nishi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0032000,1,小南町,コミナミチョウ,Kominamicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391023,
0033000,1,紺屋町,コンヤマチ,Konyamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391148,
0034000,1,材木町,ザイモクマチ,Zaimokumachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391141,
0035000,1,堺町,サカイマチ,Sakaicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391156,
0036000,1,雑穀町,ザコクマチ,Zakokumachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391150,
0037000,1,塩町,シオマチ,Shiomachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391169,
0038000,1,椎木町,シギチョウ,Shigicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391039,
0039000,1,下三橋町,シモミツハシチョウ,Shimomitsuhashicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391101,
0040000,1,城町,ジョウチョウ,Jocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391051,
0041000,1,城内町,ジョウナイチョウ,Jonaicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391011,
0042000,1,城南町,ジョウナンチョウ,Jonancho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391016,
0043000,1,城北町,ジョウホクチョウ,Johokucho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391004,
0044000,1,昭和町,ショウワチョウ,Showacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391033,
0045000,1,白土町,シラツチチョウ,Shiratsuchicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391112,
0046000,1,城の台町,シロノダイチョウ,Shironodaicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391008,
0047000,1,城見町,シロミチョウ,Shiromicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,6391012,
0048000,1,新紺屋町,シンコンヤマチ,Shinkonyamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6391143,
