町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,一丁木,イッチョウギ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,羽根山,ハネヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,堰口,セキグチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,堰根,セキネ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,猿沢,サルサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,奥新法師,オクシンボウシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,横町,ヨコマチ,Yokomachi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361311,
0000108,3,,,,,,,下大川,シモオオカワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,下中畑,シモナカハタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000110,3,,,,,,,葛原,クズハラ,Kuzuhara,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361303,
0000111,3,,,,,,,関ヶ平,セキガタイラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000112,3,,,,,,,岩屋敷,イワヤシキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000113,3,,,,,,,鬼沢,オニザワ,Onizawa,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361205,
0000114,3,,,,,,,亀田,カメタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000115,3,,,,,,,近名,チカナ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000116,3,,,,,,,駒越,コマゴシ,Komagoshi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361322,
0000117,3,,,,,,,轡,クツワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000118,3,,,,,,,熊嶋,クマジマ,Kumajima,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361321,
0000119,3,,,,,,,桂,カツラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000120,3,,,,,,,兼平,カネヒラ,Kanehira,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361332,
0000121,3,,,,,,,枯木平,カレキダイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000122,3,,,,,,,向山,ムカイヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000123,3,,,,,,,根ノ山,ネノヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000124,3,,,,,,,坂市沢,サカイチサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000125,3,,,,,,,桜井,サクライ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000126,3,,,,,,,三嶋,ミシマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000127,3,,,,,,,三日月,ミカツキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000128,3,,,,,,,三本柳,サンボンヤナギ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000129,3,,,,,,,三和,ミワ,Miwa,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0383611,
0000130,3,,,,,,,山越,ヤマコシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000131,3,,,,,,,山下,ヤマシタ,Yamashitacho,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368011,
0000132,3,,,,,,,山田,ヤマダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000133,3,,,,,,,四ッ谷,ヨツヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000134,3,,,,,,,種市,タネイチ,Taneichi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0383614,
0000135,3,,,,,,,住吉,スミヨシ,Sumiyoshicho,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368187,
0000136,3,,,,,,,小松野,コマツノ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000137,3,,,,,,,小森山,コモリヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000138,3,,,,,,,上宮地,カミミヤジ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000139,3,,,,,,,上青女子,カミアオナゴ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000140,3,,,,,,,上中畑,カミナカハタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000141,3,,,,,,,上弥生,カミヤヨイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000142,3,,,,,,,新町,シンマチ,Aramachi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368364,
0000143,3,,,,,,,新法師,シンボウシ,Shimboshi,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361342,
0000144,3,,,,,,,深山,フカヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000145,3,,,,,,,諏訪,スワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000146,3,,,,,,,瑞穂,ミズホ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000147,3,,,,,,,杉山,スギヤマ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000148,3,,,,,,,青女子,アオナゴ,Aonago,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0383615,
0000149,3,,,,,,,赤坂,アカサカ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000150,3,,,,,,,赤倉,アカクラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000151,3,,,,,,,川袋,カワブクロ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000152,3,,,,,,,泉田,イズミダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000153,3,,,,,,,蔵王,ザオウ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000154,3,,,,,,,村元,ムラモト,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000155,3,,,,,,,大久保,オオクボ,Okubo,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368071,
0000156,3,,,,,,,大清水,オオシミズ,Oshimizu,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368161,
0000157,3,,,,,,,大川,オオカワ,Okawa,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0368311,
0000158,3,,,,,,,沢田,サワダ,Sawada,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361514,
0000159,3,,,,,,,地形,ジガタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000160,3,,,,,,,中大川,ナカオオカワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000161,3,,,,,,,中野,ナカノ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000162,3,,,,,,,鳥井野,トリイノ,Toriino,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361333,
0000163,3,,,,,,,津軽羽黒,ツガルハグロ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000164,3,,,,,,,田ノ尻,タノジリ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000165,3,,,,,,,東川,ヒガシカワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000166,3,,,,,,,湯段,ユダン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000167,3,,,,,,,堂ヶ沢,ドウガサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000168,3,,,,,,,楢木,ナラノキ,Naranoki,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361206,
0000169,3,,,,,,,二ッ屋,フタツヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000170,3,,,,,,,二本木,ニホンギ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000171,3,,,,,,,如来瀬,ニョライセ,Nyoraise,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361334,
0000172,3,,,,,,,派立,ハダチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000173,3,,,,,,,馬子橋,バッバシ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000174,3,,,,,,,八反田,ハッタンダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000175,3,,,,,,,百沢,ヒャクザワ,Hyakuzawa,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0361343,
0000176,3,,,,,,,表村,オモテムラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000177,3,,,,,,,平和,ヘイワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000178,3,,,,,,,門前,モンゼン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000179,3,,,,,,,野崎,ノザキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000180,3,,,,,,,野沢,ノザワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000181,3,,,,,,,野中,ノナカ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000182,3,,,,,,,薬師堂下,ヤクシドウシタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000183,3,,,,,,,夕日ヶ丘,ユウヒガオカ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
