町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,栄,サカエ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,廻り淵,マワリフチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,鴨居木,カモイギ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,出戸ノ沢,デトノサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,堤ノ沢,ツツミノサワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,泥ノ木,ドロノキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,本陣,ホンジン,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,六志内,ロクシナイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,大字入船町,オオアザイリフネチョウ,Irifunecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460104,
0002000,1,大字歌棄町,オオアザウタスツチョウ,Utasutsucho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460132,
0003000,1,大字沖町,オオアザオキチョウ,Okicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460133,
0004000,1,大字群来町,オオアザクキチョウ,Kukicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460111,
0005000,1,大字沢江町,オオアザサワエチョウ,Sawaecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460131,
0006000,1,大字新地町,オオアザシンチチョウ,Shinchicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460112,
0007000,1,大字浜町,オオアザハマチョウ,Hamacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460121,
0008000,1,大字本町,オオアザホンチョウ,Honcho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460103,
0009000,1,大字丸山町,オオアザマルヤマチョウ,Maruyamacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460102,
0010000,1,大字御崎町,オオアザミサキチョウ,Misakicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460101,
0011000,1,大字港町,オオアザミナトマチ,Minatomachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0460113,
