町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001000,1,大字片柳新田,オオアザカタヤナギシンデン,Katayanagishinden,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3500218,
0002000,1,大字栄,オオアザサカエ,Sakae,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3500213,
0003001,2,鶴舞,ツルマイ,Tsurumai,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,鶴舞,ツルマイ,Tsurumai,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003003,2,鶴舞,ツルマイ,Tsurumai,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003004,2,鶴舞,ツルマイ,Tsurumai,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004000,1,大字坂戸,オオアザサカド,Sakado,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3500217,
0005001,2,浅羽野,アサバノ,Asabano,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0005002,2,浅羽野,アサバノ,Asabano,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0005003,2,浅羽野,アサバノ,Asabano,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0006000,1,大字竹之内,オオアザタケノウチ,Takenochi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,3500264,
0007001,2,関間,セキマ,Sekima,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0007002,2,関間,セキマ,Sekima,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0007003,2,関間,セキマ,Sekima,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0007004,2,関間,セキマ,Sekima,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008000,1,山田町,ヤマタチョウ,Yamatacho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,3500224,
0009001,2,西坂戸,ニシサカド,Nishisakado,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009002,2,西坂戸,ニシサカド,Nishisakado,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009003,2,西坂戸,ニシサカド,Nishisakado,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009004,2,西坂戸,ニシサカド,Nishisakado,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009005,2,西坂戸,ニシサカド,Nishisakado,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0010001,2,八幡,ヤハタ,Yahata,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0010002,2,八幡,ヤハタ,Yahata,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011001,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011002,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011003,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011004,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011005,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011006,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011007,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,七丁目,７チョウメ,7,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011008,2,にっさい花みず木,ニッサイハナミズキ,Nissaihanamizuki,八丁目,８チョウメ,8,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0012000,1,緑町,ミドリチョウ,Midoricho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,3500234,
0013000,1,泉町,イズミチョウ,Izumicho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,3500231,
0013002,2,泉町,イズミチョウ,Izumicho,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
