町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,京町本丁,キョウマチホンチョウ,Kyomachihoncho,1,1,0,1,0,0,0,1,1947-04-17,,0 ,8600081,
0001000,1,安政町,アンセイマチ,Anseimachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600801,
0002000,1,井川淵町,イガワブチマチ,Igawabuchimachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600841,
0003001,2,出水,イズミ,Izumi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,出水,イズミ,Izumi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003003,2,出水,イズミ,Izumi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003004,2,出水,イズミ,Izumi,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003005,2,出水,イズミ,Izumi,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003006,2,出水,イズミ,Izumi,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003007,2,出水,イズミ,Izumi,七丁目,７チョウメ,7,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003008,2,出水,イズミ,Izumi,八丁目,８チョウメ,8,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004000,1,板屋町,イタヤマチ,Itayamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600043,
0005001,2,魚屋町,ウオヤマチ,Uoyamachi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0005002,2,魚屋町,ウオヤマチ,Uoyamachi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0005003,2,魚屋町,ウオヤマチ,Uoyamachi,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006000,1,内坪井町,ウチツボイマチ,Uchitsuboimachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600077,
0007002,2,江津,エヅ,Ezu,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008001,2,大江,オオエ,Oe,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008002,2,大江,オオエ,Oe,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008003,2,大江,オオエ,Oe,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008004,2,大江,オオエ,Oe,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008005,2,大江,オオエ,Oe,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008006,2,大江,オオエ,Oe,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009000,1,大江本町,オオエホンマチ,Oehommachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8620973,
0010000,1,岡田町,オカダマチ,Okadamachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8620958,
0011001,2,帯山,オビヤマ,Obiyama,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011002,2,帯山,オビヤマ,Obiyama,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011003,2,帯山,オビヤマ,Obiyama,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011004,2,帯山,オビヤマ,Obiyama,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011005,2,帯山,オビヤマ,Obiyama,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011006,2,帯山,オビヤマ,Obiyama,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011007,2,帯山,オビヤマ,Obiyama,七丁目,７チョウメ,7,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011008,2,帯山,オビヤマ,Obiyama,八丁目,８チョウメ,8,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0011009,2,帯山,オビヤマ,Obiyama,九丁目,９チョウメ,9,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0012000,1,鍛冶屋町,カジヤマチ,Kajiyamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600026,
0013000,1,上鍛冶屋町,カミカジヤマチ,Kamikajiyamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600021,
0014000,1,上京塚町,カミキョウヅカマチ,Kamikyozukamachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8620953,
0015001,2,上水前寺,カミスイゼンジ,Kamisuizenji,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0015002,2,上水前寺,カミスイゼンジ,Kamisuizenji,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0016000,1,上通町,カミトオリチョウ,Kamitoricho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600845,
0017000,1,上林町,カミバヤシマチ,Kamibayashimachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600847,
0018000,1,辛島町,カラシマチョウ,Karashimacho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600804,
0019000,1,川端町,カワバタマチ,Kawabatamachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600039,
0020000,1,河原町,カワラマチ,Kawaramachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600023,
0021000,1,北千反畑町,キタセンダンバタマチ,Kitasendambatamachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600855,
0022001,2,京町,キョウマチ,Kyomachi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0022002,2,京町,キョウマチ,Kyomachi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0024000,1,草葉町,クサバチョウ,Kusabacho,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600843,
0025001,2,九品寺,クホンジ,Kuhonji,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0025002,2,九品寺,クホンジ,Kuhonji,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0025003,2,九品寺,クホンジ,Kuhonji,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0025004,2,九品寺,クホンジ,Kuhonji,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0025005,2,九品寺,クホンジ,Kuhonji,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0025006,2,九品寺,クホンジ,Kuhonji,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026001,2,黒髪,クロカミ,Kurokami,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026002,2,黒髪,クロカミ,Kurokami,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026003,2,黒髪,クロカミ,Kurokami,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026004,2,黒髪,クロカミ,Kurokami,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026005,2,黒髪,クロカミ,Kurokami,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026006,2,黒髪,クロカミ,Kurokami,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0026007,2,黒髪,クロカミ,Kurokami,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0026008,2,黒髪,クロカミ,Kurokami,八丁目,８チョウメ,8,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0027001,2,神水,クワミズ,Kuwamizu,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0027002,2,神水,クワミズ,Kuwamizu,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0028000,1,神水本町,クワミズホンマチ,Kuwamizuhommachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8620955,
0029000,1,慶徳堀町,ケイトクボリマチ,Keitokuborimachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600014,
0030000,1,紺屋阿弥陀寺町,コウヤアミダジマチ,Koya Amidajimachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8600033,
0031001,2,紺屋町,コウヤマチ,Koyamachi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0031002,2,紺屋町,コウヤマチ,Koyamachi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0031003,2,紺屋町,コウヤマチ,Koyamachi,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0032000,1,子飼本町,コカイホンマチ,Kokaihommachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8600851,
0033001,2,国府,コクブ,Kokubu,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0033002,2,国府,コクブ,Kokubu,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0033003,2,国府,コクブ,Kokubu,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0033004,2,国府,コクブ,Kokubu,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
