全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
363685,0001118,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字片山,アザカタヤマ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001103,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字金本,アザカナモト,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001119,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字北川,アザキタガワ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001105,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字幸の谷,アザコウノタニ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001102,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字こおやくち,アザコオヤクチ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001108,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字小山,アザコヤマ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001110,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字杉の久保,アザスギノクボ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001120,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字李,アザスモモ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001114,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字田の谷,アザタノタニ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001107,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字寺西,アザテラニシ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001113,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字天狗谷,アザテングダニ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001112,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字中通,アザナカドオリ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001111,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字西浦,アザニシウラ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001104,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字原,アザハラ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001115,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字桃の木谷,アザモモノキダニ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001109,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字森地免,アザモリチメン,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001116,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字湯谷,アザユヤ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001117,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字湯谷の坂,アザユヤノサカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
363685,0001106,3,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,阿井,アイ,Ai,,,,字四方見坂,アザヨミサカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
013714,0000118,3,北海道,ホッカイドウ,Hokkaido,久遠郡,クドウグン,Kudo-gun,せたな町,セタナチョウ,Setana-cho,,,,,,,,,,会岩,アイイワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
022055,0001000,1,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,0370401,
022055,0001105,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,赤坂,アカサカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
022055,0001101,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,岩井,イワイ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
022055,0001103,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,桂川,カツラガワ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
022055,0001106,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,露草,ツユクサ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
