全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
012157,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,美唄市,ビバイシ,Bibai-shi,,,
012165,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,芦別市,アシベツシ,Ashibetsu-shi,,,
012173,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,江別市,エベツシ,Ebetsu-shi,,,
012181,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,赤平市,アカビラシ,Akabira-shi,,,
012190,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,紋別市,モンベツシ,Mombetsu-shi,,,
012203,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,士別市,シベツシ,Shibetsu-shi,,,
012211,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,名寄市,ナヨロシ,Nayoro-shi,,,
012220,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,三笠市,ミカサシ,Mikasa-shi,,,
012238,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,根室市,ネムロシ,Nemuro-shi,,,
012246,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,千歳市,チトセシ,Chitose-shi,,,
012254,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,滝川市,タキカワシ,Takikawa-shi,,,
012262,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,砂川市,スナガワシ,Sunagawa-shi,,,
012271,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,歌志内市,ウタシナイシ,Utashinai-shi,,,
012289,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,深川市,フカガワシ,Fukagawa-shi,,,
012297,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,富良野市,フラノシ,Furano-shi,,,
012301,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,登別市,ノボリベツシ,Noboribetsu-shi,,,
012319,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,恵庭市,エニワシ,Eniwa-shi,,,
012335,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,伊達市,ダテシ,Date-shi,,,
012343,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,北広島市,キタヒロシマシ,Kitahiroshima-shi,,,
012351,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,石狩市,イシカリシ,Ishikari-shi,,,
012360,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,,,,北斗市,ホクトシ,Hokuto-shi,,,
013030,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,石狩郡,イシカリグン,Ishikari-gun,当別町,トウベツチョウ,Tobetsu-cho,,,
013048,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,石狩郡,イシカリグン,Ishikari-gun,新篠津村,シンシノツムラ,Shinshinotsu-mura,,,
013315,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,松前郡,マツマエグン,Matsumae-gun,松前町,マツマエチョウ,Matsumae-cho,,,
013323,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,松前郡,マツマエグン,Matsumae-gun,福島町,フクシマチョウ,Fukushima-cho,,,
013331,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上磯郡,カミイソグン,Kamiiso-gun,知内町,シリウチチョウ,Shiriuchi-cho,,,
013340,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上磯郡,カミイソグン,Kamiiso-gun,木古内町,キコナイチョウ,Kikonai-cho,,,
013374,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,亀田郡,カメダグン,Kameda-gun,七飯町,ナナエチョウ,Nanae-cho,,,
013439,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,茅部郡,カヤベグン,Kayabe-gun,鹿部町,シカベチョウ,Shikabe-cho,,,
013455,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,茅部郡,カヤベグン,Kayabe-gun,森町,モリマチ,Mori-machi,,,
013463,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,二海郡,フタミグン,Futami-gun,八雲町,ヤクモチョウ,Yakumo-cho,,,
