全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
063819,山形県,ヤマガタケン,Yamagata,1947-04-17,,,東置賜郡,ヒガシオキタマグン,Higashiokitama-gun,高畠町,タカハタマチ,Takahata-machi,,,
063827,山形県,ヤマガタケン,Yamagata,1947-04-17,,,東置賜郡,ヒガシオキタマグン,Higashiokitama-gun,川西町,カワニシマチ,Kawanishi-machi,,,
064017,山形県,ヤマガタケン,Yamagata,1947-04-17,,,西置賜郡,ニシオキタマグン,Nishiokitama-gun,小国町,オグニマチ,Oguni-machi,,,
064025,山形県,ヤマガタケン,Yamagata,1947-04-17,,,西置賜郡,ニシオキタマグン,Nishiokitama-gun,白鷹町,シラタカマチ,Shirataka-machi,,,
064033,山形県,ヤマガタケン,Yamagata,1947-04-17,,,西置賜郡,ニシオキタマグン,Nishiokitama-gun,飯豊町,イイデマチ,Iide-machi,,,
064262,山形県,ヤマガタケン,Yamagata,1947-04-17,,,東田川郡,ヒガシタガワグン,Higashitagawa-gun,三川町,ミカワマチ,Mikawa-machi,,,
064289,山形県,ヤマガタケン,Yamagata,1947-04-17,,,東田川郡,ヒガシタガワグン,Higashitagawa-gun,庄内町,ショウナイマチ,Shonai-machi,,,
064611,山形県,ヤマガタケン,Yamagata,1947-04-17,,,飽海郡,アクミグン,Akumi-gun,遊佐町,ユザマチ,Yuza-machi,,,
070009,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,,,,,,
072010,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,福島市,フクシマシ,Fukushima-shi,,,
072028,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,会津若松市,アイヅワカマツシ,Aizuwakamatsu-shi,,,
072036,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,郡山市,コオリヤマシ,Koriyama-shi,,,
072044,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,いわき市,イワキシ,Iwaki-shi,,,
072052,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,白河市,シラカワシ,Shirakawa-shi,,,
072079,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,須賀川市,スカガワシ,Sukagawa-shi,,,
072087,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,喜多方市,キタカタシ,Kitakata-shi,,,
072095,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,相馬市,ソウマシ,Soma-shi,,,
072109,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,二本松市,ニホンマツシ,Nihommatsu-shi,,,
072117,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,田村市,タムラシ,Tamura-shi,,,
072125,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,南相馬市,ミナミソウマシ,Minamisoma-shi,,,
072133,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,伊達市,ダテシ,Date-shi,,,
072141,福島県,フクシマケン,Fukushima,1947-04-17,,,,,,本宮市,モトミヤシ,Motomiya-shi,,,
073016,福島県,フクシマケン,Fukushima,1947-04-17,,,伊達郡,ダテグン,Date-gun,桑折町,コオリマチ,Kori-machi,,,
073032,福島県,フクシマケン,Fukushima,1947-04-17,,,伊達郡,ダテグン,Date-gun,国見町,クニミマチ,Kunimi-machi,,,
073083,福島県,フクシマケン,Fukushima,1947-04-17,,,伊達郡,ダテグン,Date-gun,川俣町,カワマタマチ,Kawamata-machi,,,
073229,福島県,フクシマケン,Fukushima,1947-04-17,,,安達郡,アダチグン,Adachi-gun,大玉村,オオタマムラ,Otama-mura,,,
073423,福島県,フクシマケン,Fukushima,1947-04-17,,,岩瀬郡,イワセグン,Iwase-gun,鏡石町,カガミイシマチ,Kagamiishi-machi,,,
073440,福島県,フクシマケン,Fukushima,1947-04-17,,,岩瀬郡,イワセグン,Iwase-gun,天栄村,テンエイムラ,Tenei-mura,,,
073628,福島県,フクシマケン,Fukushima,1947-04-17,,,南会津郡,ミナミアイヅグン,Minamiaizu-gun,下郷町,シモゴウマチ,Shimogo-machi,,,
073644,福島県,フクシマケン,Fukushima,1947-04-17,,,南会津郡,ミナミアイヅグン,Minamiaizu-gun,檜枝岐村,ヒノエマタムラ,Hinoemata-mura,,,
073679,福島県,フクシマケン,Fukushima,1947-04-17,,,南会津郡,ミナミアイヅグン,Minamiaizu-gun,只見町,タダミマチ,Tadami-machi,,,
073687,福島県,フクシマケン,Fukushima,1947-04-17,,,南会津郡,ミナミアイヅグン,Minamiaizu-gun,南会津町,ミナミアイヅマチ,Minamiaizu-machi,,,
074021,福島県,フクシマケン,Fukushima,1947-04-17,,,耶麻郡,ヤマグン,Yama-gun,北塩原村,キタシオバラムラ,Kitashiobara-mura,,,
074055,福島県,フクシマケン,Fukushima,1947-04-17,,,耶麻郡,ヤマグン,Yama-gun,西会津町,ニシアイヅマチ,Nishiaizu-machi,,,
074071,福島県,フクシマケン,Fukushima,1947-04-17,,,耶麻郡,ヤマグン,Yama-gun,磐梯町,バンダイマチ,Bandai-machi,,,
074080,福島県,フクシマケン,Fukushima,1947-04-17,,,耶麻郡,ヤマグン,Yama-gun,猪苗代町,イナワシロマチ,Inawashiro-machi,,,
074217,福島県,フクシマケン,Fukushima,1947-04-17,,,河沼郡,カワヌマグン,Kawanuma-gun,会津坂下町,アイヅバンゲマチ,Aizubange-machi,,,
074225,福島県,フクシマケン,Fukushima,1947-04-17,,,河沼郡,カワヌマグン,Kawanuma-gun,湯川村,ユガワムラ,Yugawa-mura,,,
074233,福島県,フクシマケン,Fukushima,1947-04-17,,,河沼郡,カワヌマグン,Kawanuma-gun,柳津町,ヤナイヅマチ,Yanaizu-machi,,,
074446,福島県,フクシマケン,Fukushima,1947-04-17,,,大沼郡,オオヌマグン,Onuma-gun,三島町,ミシママチ,Mishima-machi,,,
074454,福島県,フクシマケン,Fukushima,1947-04-17,,,大沼郡,オオヌマグン,Onuma-gun,金山町,カネヤママチ,Kaneyama-machi,,,
074462,福島県,フクシマケン,Fukushima,1947-04-17,,,大沼郡,オオヌマグン,Onuma-gun,昭和村,ショウワムラ,Showa-mura,,,
074471,福島県,フクシマケン,Fukushima,1947-04-17,,,大沼郡,オオヌマグン,Onuma-gun,会津美里町,アイヅミサトマチ,Aizumisato-machi,,,
074616,福島県,フクシマケン,Fukushima,1947-04-17,,,西白河郡,ニシシラカワグン,Nishishirakawa-gun,西郷村,ニシゴウムラ,Nishigo-mura,,,
074641,福島県,フクシマケン,Fukushima,1947-04-17,,,西白河郡,ニシシラカワグン,Nishishirakawa-gun,泉崎村,イズミザキムラ,Izumizaki-mura,,,
074659,福島県,フクシマケン,Fukushima,1947-04-17,,,西白河郡,ニシシラカワグン,Nishishirakawa-gun,中島村,ナカジマムラ,Nakajima-mura,,,
074667,福島県,フクシマケン,Fukushima,1947-04-17,,,西白河郡,ニシシラカワグン,Nishishirakawa-gun,矢吹町,ヤブキマチ,Yabuki-machi,,,
074811,福島県,フクシマケン,Fukushima,1947-04-17,,,東白川郡,ヒガシシラカワグン,Higashishirakawa-gun,棚倉町,タナグラマチ,Tanagura-machi,,,
074829,福島県,フクシマケン,Fukushima,1947-04-17,,,東白川郡,ヒガシシラカワグン,Higashishirakawa-gun,矢祭町,ヤマツリマチ,Yamatsuri-machi,,,
074837,福島県,フクシマケン,Fukushima,1947-04-17,,,東白川郡,ヒガシシラカワグン,Higashishirakawa-gun,塙町,ハナワマチ,Hanawa-machi,,,
074845,福島県,フクシマケン,Fukushima,1947-04-17,,,東白川郡,ヒガシシラカワグン,Higashishirakawa-gun,鮫川村,サメガワムラ,Samegawa-mura,,,
075019,福島県,フクシマケン,Fukushima,1947-04-17,,,石川郡,イシカワグン,Ishikawa-gun,石川町,イシカワマチ,Ishikawa-machi,,,
075027,福島県,フクシマケン,Fukushima,1947-04-17,,,石川郡,イシカワグン,Ishikawa-gun,玉川村,タマカワムラ,Tamakawa-mura,,,
075035,福島県,フクシマケン,Fukushima,1947-04-17,,,石川郡,イシカワグン,Ishikawa-gun,平田村,ヒラタムラ,Hirata-mura,,,
075043,福島県,フクシマケン,Fukushima,1947-04-17,,,石川郡,イシカワグン,Ishikawa-gun,浅川町,アサカワマチ,Asakawa-machi,,,
075051,福島県,フクシマケン,Fukushima,1947-04-17,,,石川郡,イシカワグン,Ishikawa-gun,古殿町,フルドノマチ,Furudono-machi,,,
075213,福島県,フクシマケン,Fukushima,1947-04-17,,,田村郡,タムラグン,Tamura-gun,三春町,ミハルマチ,Miharu-machi,,,
075221,福島県,フクシマケン,Fukushima,1947-04-17,,,田村郡,タムラグン,Tamura-gun,小野町,オノマチ,Ono-machi,,,
075418,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,広野町,ヒロノマチ,Hirono-machi,,,
075426,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,楢葉町,ナラハマチ,Naraha-machi,,,
075434,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,富岡町,トミオカマチ,Tomioka-machi,,,
075442,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,川内村,カワウチムラ,Kawauchi-mura,,,
075451,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,大熊町,オオクママチ,Okuma-machi,,,
075469,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,双葉町,フタバマチ,Futaba-machi,,,
075477,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,浪江町,ナミエマチ,Namie-machi,,,
075485,福島県,フクシマケン,Fukushima,1947-04-17,,,双葉郡,フタバグン,Futaba-gun,葛尾村,カツラオムラ,Katsurao-mura,,,
075612,福島県,フクシマケン,Fukushima,1947-04-17,,,相馬郡,ソウマグン,Soma-gun,新地町,シンチマチ,Shinchi-machi,,,
075647,福島県,フクシマケン,Fukushima,1947-04-17,,,相馬郡,ソウマグン,Soma-gun,飯舘村,イイタテムラ,Iitate-mura,,,
080004,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,,,,,,
082015,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,水戸市,ミトシ,Mito-shi,,,
082023,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,日立市,ヒタチシ,Hitachi-shi,,,
082031,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,土浦市,ツチウラシ,Tsuchiura-shi,,,
082040,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,古河市,コガシ,Koga-shi,,,
082058,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,石岡市,イシオカシ,Ishioka-shi,,,
082074,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,結城市,ユウキシ,Yuki-shi,,,
082082,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,龍ケ崎市,リュウガサキシ,Ryugasaki-shi,,,
082104,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,下妻市,シモツマシ,Shimotsuma-shi,,,
082112,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,常総市,ジョウソウシ,Joso-shi,,,
082121,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,常陸太田市,ヒタチオオタシ,Hitachiota-shi,,,
082147,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,高萩市,タカハギシ,Takahagi-shi,,,
082155,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,北茨城市,キタイバラキシ,Kitaibaraki-shi,,,
082163,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,笠間市,カサマシ,Kasama-shi,,,
082171,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,取手市,トリデシ,Toride-shi,,,
082198,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,牛久市,ウシクシ,Ushiku-shi,,,
082201,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,つくば市,ツクバシ,Tsukuba-shi,,,
082210,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,ひたちなか市,ヒタチナカシ,Hitachinaka-shi,,,
082228,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,鹿嶋市,カシマシ,Kashima-shi,,,
082236,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,潮来市,イタコシ,Itako-shi,,,
082244,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,守谷市,モリヤシ,Moriya-shi,,,
082252,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,常陸大宮市,ヒタチオオミヤシ,Hitachiomiya-shi,,,
082261,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,那珂市,ナカシ,Naka-shi,,,
082279,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,筑西市,チクセイシ,Chikusei-shi,,,
082287,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,坂東市,バンドウシ,Bando-shi,,,
082295,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,稲敷市,イナシキシ,Inashiki-shi,,,
082309,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,かすみがうら市,カスミガウラシ,Kasumigaura-shi,,,
082317,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,桜川市,サクラガワシ,Sakuragawa-shi,,,
082325,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,神栖市,カミスシ,Kamisu-shi,,,
082333,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,行方市,ナメガタシ,Namegata-shi,,,
082341,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,鉾田市,ホコタシ,Hokota-shi,,,
082350,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,つくばみらい市,ツクバミライシ,Tsukubamirai-shi,,,
082368,茨城県,イバラキケン,Ibaraki,1947-04-17,,,,,,小美玉市,オミタマシ,Omitama-shi,,,
083020,茨城県,イバラキケン,Ibaraki,1947-04-17,,,東茨城郡,ヒガシイバラキグン,Higashiibaraki-gun,茨城町,イバラキマチ,Ibaraki-machi,,,
083097,茨城県,イバラキケン,Ibaraki,1947-04-17,,,東茨城郡,ヒガシイバラキグン,Higashiibaraki-gun,大洗町,オオアライマチ,Oarai-machi,,,
083101,茨城県,イバラキケン,Ibaraki,1947-04-17,,,東茨城郡,ヒガシイバラキグン,Higashiibaraki-gun,城里町,シロサトマチ,Shirosato-machi,,,
083411,茨城県,イバラキケン,Ibaraki,1947-04-17,,,那珂郡,ナカグン,Naka-gun,東海村,トウカイムラ,Tokai-mura,,,
083640,茨城県,イバラキケン,Ibaraki,1947-04-17,,,久慈郡,クジグン,Kuji-gun,大子町,ダイゴマチ,Daigo-machi,,,
084425,茨城県,イバラキケン,Ibaraki,1947-04-17,,,稲敷郡,イナシキグン,Inashiki-gun,美浦村,ミホムラ,Miho-mura,,,
084433,茨城県,イバラキケン,Ibaraki,1947-04-17,,,稲敷郡,イナシキグン,Inashiki-gun,阿見町,アミマチ,Ami-machi,,,
084476,茨城県,イバラキケン,Ibaraki,1947-04-17,,,稲敷郡,イナシキグン,Inashiki-gun,河内町,カワチマチ,Kawachi-machi,,,
085219,茨城県,イバラキケン,Ibaraki,1947-04-17,,,結城郡,ユウキグン,Yuki-gun,八千代町,ヤチヨマチ,Yachiyo-machi,,,
085421,茨城県,イバラキケン,Ibaraki,1947-04-17,,,猿島郡,サシマグン,Sashima-gun,五霞町,ゴカマチ,Goka-machi,,,
085464,茨城県,イバラキケン,Ibaraki,1947-04-17,,,猿島郡,サシマグン,Sashima-gun,境町,サカイマチ,Sakai-machi,,,
085642,茨城県,イバラキケン,Ibaraki,1947-04-17,,,北相馬郡,キタソウマグン,Kitasoma-gun,利根町,トネマチ,Tone-machi,,,
090000,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,,,,,,
092011,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,宇都宮市,ウツノミヤシ,Utsunomiya-shi,,,
092029,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,足利市,アシカガシ,Ashikaga-shi,,,
092037,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,栃木市,トチギシ,Tochigi-shi,,,
092045,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,佐野市,サノシ,Sano-shi,,,
092053,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,鹿沼市,カヌマシ,Kanuma-shi,,,
092061,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,日光市,ニッコウシ,Nikko-shi,,,
092088,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,小山市,オヤマシ,Oyama-shi,,,
092096,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,真岡市,モオカシ,Moka-shi,,,
092100,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,大田原市,オオタワラシ,Otawara-shi,,,
092118,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,矢板市,ヤイタシ,Yaita-shi,,,
092134,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,那須塩原市,ナスシオバラシ,Nasushiobara-shi,,,
092142,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,さくら市,サクラシ,Sakura-shi,,,
092151,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,那須烏山市,ナスカラスヤマシ,Nasukarasuyama-shi,,,
092169,栃木県,トチギケン,Tochigi,1947-04-17,,,,,,下野市,シモツケシ,Shimotsuke-shi,,,
093017,栃木県,トチギケン,Tochigi,1947-04-17,,,河内郡,カワチグン,Kawachi-gun,上三川町,カミノカワマチ,Kaminokawa-machi,,,
093424,栃木県,トチギケン,Tochigi,1947-04-17,,,芳賀郡,ハガグン,Haga-gun,益子町,マシコマチ,Mashiko-machi,,,
093432,栃木県,トチギケン,Tochigi,1947-04-17,,,芳賀郡,ハガグン,Haga-gun,茂木町,モテギマチ,Motegi-machi,,,
093441,栃木県,トチギケン,Tochigi,1947-04-17,,,芳賀郡,ハガグン,Haga-gun,市貝町,イチカイマチ,Ichikai-machi,,,
093459,栃木県,トチギケン,Tochigi,1947-04-17,,,芳賀郡,ハガグン,Haga-gun,芳賀町,ハガマチ,Haga-machi,,,
093611,栃木県,トチギケン,Tochigi,1947-04-17,,,下都賀郡,シモツガグン,Shimotsuga-gun,壬生町,ミブマチ,Mibu-machi,,,
093645,栃木県,トチギケン,Tochigi,1947-04-17,,,下都賀郡,シモツガグン,Shimotsuga-gun,野木町,ノギマチ,Nogi-machi,,,
093840,栃木県,トチギケン,Tochigi,1947-04-17,,,塩谷郡,シオヤグン,Shioya-gun,塩谷町,シオヤマチ,Shioya-machi,,,
093866,栃木県,トチギケン,Tochigi,1947-04-17,,,塩谷郡,シオヤグン,Shioya-gun,高根沢町,タカネザワマチ,Takanezawa-machi,,,
094072,栃木県,トチギケン,Tochigi,1947-04-17,,,那須郡,ナスグン,Nasu-gun,那須町,ナスマチ,Nasu-machi,,,
094111,栃木県,トチギケン,Tochigi,1947-04-17,,,那須郡,ナスグン,Nasu-gun,那珂川町,ナカガワマチ,Nakagawa-machi,,,
100005,群馬県,グンマケン,Gumma,1947-04-17,,,,,,,,,,,
102016,群馬県,グンマケン,Gumma,1947-04-17,,,,,,前橋市,マエバシシ,Maebashi-shi,,,
102024,群馬県,グンマケン,Gumma,1947-04-17,,,,,,高崎市,タカサキシ,Takasaki-shi,,,
102032,群馬県,グンマケン,Gumma,1947-04-17,,,,,,桐生市,キリュウシ,Kiryu-shi,,,
102041,群馬県,グンマケン,Gumma,1947-04-17,,,,,,伊勢崎市,イセサキシ,Isesaki-shi,,,
102059,群馬県,グンマケン,Gumma,1947-04-17,,,,,,太田市,オオタシ,Ota-shi,,,
102067,群馬県,グンマケン,Gumma,1947-04-17,,,,,,沼田市,ヌマタシ,Numata-shi,,,
102075,群馬県,グンマケン,Gumma,1947-04-17,,,,,,館林市,タテバヤシシ,Tatebayashi-shi,,,
102083,群馬県,グンマケン,Gumma,1947-04-17,,,,,,渋川市,シブカワシ,Shibukawa-shi,,,
102091,群馬県,グンマケン,Gumma,1947-04-17,,,,,,藤岡市,フジオカシ,Fujioka-shi,,,
102105,群馬県,グンマケン,Gumma,1947-04-17,,,,,,富岡市,トミオカシ,Tomioka-shi,,,
102113,群馬県,グンマケン,Gumma,1947-04-17,,,,,,安中市,アンナカシ,Annaka-shi,,,
102121,群馬県,グンマケン,Gumma,1947-04-17,,,,,,みどり市,ミドリシ,Midori-shi,,,
103446,群馬県,グンマケン,Gumma,1947-04-17,,,北群馬郡,キタグンマグン,Kitagumma-gun,榛東村,シントウムラ,Shinto-mura,,,
103454,群馬県,グンマケン,Gumma,1947-04-17,,,北群馬郡,キタグンマグン,Kitagumma-gun,吉岡町,ヨシオカマチ,Yoshioka-machi,,,
103667,群馬県,グンマケン,Gumma,1947-04-17,,,多野郡,タノグン,Tano-gun,上野村,ウエノムラ,Ueno-mura,,,
103675,群馬県,グンマケン,Gumma,1947-04-17,,,多野郡,タノグン,Tano-gun,神流町,カンナマチ,Kanna-machi,,,
103829,群馬県,グンマケン,Gumma,1947-04-17,,,甘楽郡,カンラグン,Kanra-gun,下仁田町,シモニタマチ,Shimonita-machi,,,
103837,群馬県,グンマケン,Gumma,1947-04-17,,,甘楽郡,カンラグン,Kanra-gun,南牧村,ナンモクムラ,Nammoku-mura,,,
103845,群馬県,グンマケン,Gumma,1947-04-17,,,甘楽郡,カンラグン,Kanra-gun,甘楽町,カンラマチ,Kanra-machi,,,
104213,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,中之条町,ナカノジョウマチ,Nakanojo-machi,,,
104248,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,長野原町,ナガノハラマチ,Naganohara-machi,,,
104256,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,嬬恋村,ツマゴイムラ,Tsumagoi-mura,,,
104264,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,草津町,クサツマチ,Kusatsu-machi,,,
104281,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,高山村,タカヤマムラ,Takayama-mura,,,
104299,群馬県,グンマケン,Gumma,1947-04-17,,,吾妻郡,アガツマグン,Agatsuma-gun,東吾妻町,ヒガシアガツママチ,Higashiagatsuma-machi,,,
104434,群馬県,グンマケン,Gumma,1947-04-17,,,利根郡,トネグン,Tone-gun,片品村,カタシナムラ,Katashina-mura,,,
104442,群馬県,グンマケン,Gumma,1947-04-17,,,利根郡,トネグン,Tone-gun,川場村,カワバムラ,Kawaba-mura,,,
104485,群馬県,グンマケン,Gumma,1947-04-17,,,利根郡,トネグン,Tone-gun,昭和村,ショウワムラ,Showa-mura,,,
104493,群馬県,グンマケン,Gumma,1947-04-17,,,利根郡,トネグン,Tone-gun,みなかみ町,ミナカミマチ,Minakami-machi,,,
104647,群馬県,グンマケン,Gumma,1947-04-17,,,佐波郡,サワグン,Sawa-gun,玉村町,タマムラマチ,Tamamura-machi,,,
105210,群馬県,グンマケン,Gumma,1947-04-17,,,邑楽郡,オウラグン,Ora-gun,板倉町,イタクラマチ,Itakura-machi,,,
105228,群馬県,グンマケン,Gumma,1947-04-17,,,邑楽郡,オウラグン,Ora-gun,明和町,メイワマチ,Meiwa-machi,,,
105236,群馬県,グンマケン,Gumma,1947-04-17,,,邑楽郡,オウラグン,Ora-gun,千代田町,チヨダマチ,Chiyoda-machi,,,
105244,群馬県,グンマケン,Gumma,1947-04-17,,,邑楽郡,オウラグン,Ora-gun,大泉町,オオイズミマチ,Oizumi-machi,,,
105252,群馬県,グンマケン,Gumma,1947-04-17,,,邑楽郡,オウラグン,Ora-gun,邑楽町,オウラマチ,Ora-machi,,,
110001,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,,,,,,
111007,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,,,
111015,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,西区,ニシク,Nishi-ku
111023,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,北区,キタク,Kita-ku
111031,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,大宮区,オオミヤク,Omiya-ku
111040,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,見沼区,ミヌマク,Minuma-ku
111058,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,中央区,チュウオウク,Chuo-ku
111066,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,桜区,サクラク,Sakura-ku
111074,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,浦和区,ウラワク,Urawa-ku
111082,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,南区,ミナミク,Minami-ku
111091,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,緑区,ミドリク,Midori-ku
111104,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,さいたま市,サイタマシ,Saitama-shi,岩槻区,イワツキク,Iwatsuki-ku
112011,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,川越市,カワゴエシ,Kawagoe-shi,,,
112020,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,熊谷市,クマガヤシ,Kumagaya-shi,,,
112038,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,川口市,カワグチシ,Kawaguchi-shi,,,
112062,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,行田市,ギョウダシ,Gyoda-shi,,,
112071,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,秩父市,チチブシ,Chichibu-shi,,,
112089,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,所沢市,トコロザワシ,Tokorozawa-shi,,,
112097,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,飯能市,ハンノウシ,Hanno-shi,,,
112101,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,加須市,カゾシ,Kazo-shi,,,
112119,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,本庄市,ホンジョウシ,Honjo-shi,,,
112127,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,東松山市,ヒガシマツヤマシ,Higashimatsuyama-shi,,,
112143,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,春日部市,カスカベシ,Kasukabe-shi,,,
112151,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,狭山市,サヤマシ,Sayama-shi,,,
112160,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,羽生市,ハニュウシ,Hanyu-shi,,,
112178,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,鴻巣市,コウノスシ,Konosu-shi,,,
112186,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,深谷市,フカヤシ,Fukaya-shi,,,
112194,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,上尾市,アゲオシ,Ageo-shi,,,
112216,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,草加市,ソウカシ,Soka-shi,,,
112224,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,越谷市,コシガヤシ,Koshigaya-shi,,,
112232,埼玉県,サイタマケン,Saitama,1947-04-17,,,,,,蕨市,ワラビシ,Warabi-shi,,,
