全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
292010,奈良県,ナラケン,Nara,,,,奈良市,ナラシ,Nara-shi,,,,1947-04-17,,
292028,奈良県,ナラケン,Nara,,,,大和高田市,ヤマトタカダシ,Yamatotakada-shi,,,,1947-04-17,,
292036,奈良県,ナラケン,Nara,,,,大和郡山市,ヤマトコオリヤマシ,Yamatokoriyama-shi,,,,1947-04-17,,
292044,奈良県,ナラケン,Nara,,,,天理市,テンリシ,Tenri-shi,,,,1947-04-17,,
292052,奈良県,ナラケン,Nara,,,,橿原市,カシハラシ,Kashihara-shi,,,,1947-04-17,,
292061,奈良県,ナラケン,Nara,,,,桜井市,サクライシ,Sakurai-shi,,,,1947-04-17,,
292079,奈良県,ナラケン,Nara,,,,五條市,ゴジョウシ,Gojo-shi,,,,1947-04-17,,
292087,奈良県,ナラケン,Nara,,,,御所市,ゴセシ,Gose-shi,,,,1947-04-17,,
292095,奈良県,ナラケン,Nara,,,,生駒市,イコマシ,Ikoma-shi,,,,1947-04-17,,
292109,奈良県,ナラケン,Nara,,,,香芝市,カシバシ,Kashiba-shi,,,,1947-04-17,,
292117,奈良県,ナラケン,Nara,,,,葛城市,カツラギシ,Katsuragi-shi,,,,1947-04-17,,
292125,奈良県,ナラケン,Nara,,,,宇陀市,ウダシ,Uda-shi,,,,1947-04-17,,
293229,奈良県,ナラケン,Nara,山辺郡,ヤマベグン,Yamabe-gun,山添村,ヤマゾエムラ,Yamazoe-mura,,,,1947-04-17,,
293423,奈良県,ナラケン,Nara,生駒郡,イコマグン,Ikoma-gun,平群町,ヘグリチョウ,Heguri-cho,,,,1947-04-17,,
293431,奈良県,ナラケン,Nara,生駒郡,イコマグン,Ikoma-gun,三郷町,サンゴウチョウ,Sango-cho,,,,1947-04-17,,
293440,奈良県,ナラケン,Nara,生駒郡,イコマグン,Ikoma-gun,斑鳩町,イカルガチョウ,Ikaruga-cho,,,,1947-04-17,,
293458,奈良県,ナラケン,Nara,生駒郡,イコマグン,Ikoma-gun,安堵町,アンドチョウ,Ando-cho,,,,1947-04-17,,
293610,奈良県,ナラケン,Nara,磯城郡,シキグン,Shiki-gun,川西町,カワニシチョウ,Kawanishi-cho,,,,1947-04-17,,
293628,奈良県,ナラケン,Nara,磯城郡,シキグン,Shiki-gun,三宅町,ミヤケチョウ,Miyake-cho,,,,1947-04-17,,
293636,奈良県,ナラケン,Nara,磯城郡,シキグン,Shiki-gun,田原本町,タワラモトチョウ,Tawaramoto-cho,,,,1947-04-17,,
293857,奈良県,ナラケン,Nara,宇陀郡,ウダグン,Uda-gun,曽爾村,ソニムラ,Soni-mura,,,,1947-04-17,,
293865,奈良県,ナラケン,Nara,宇陀郡,ウダグン,Uda-gun,御杖村,ミツエムラ,Mitsue-mura,,,,1947-04-17,,
294012,奈良県,ナラケン,Nara,高市郡,タカイチグン,Takaichi-gun,高取町,タカトリチョウ,Takatori-cho,,,,1947-04-17,,
