全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
252018,滋賀県,シガケン,Shiga,,,,大津市,オオツシ,Otsu-shi,,,,1947-04-17,,
252026,滋賀県,シガケン,Shiga,,,,彦根市,ヒコネシ,Hikone-shi,,,,1947-04-17,,
252034,滋賀県,シガケン,Shiga,,,,長浜市,ナガハマシ,Nagahama-shi,,,,1947-04-17,,
252042,滋賀県,シガケン,Shiga,,,,近江八幡市,オウミハチマンシ,Omihachiman-shi,,,,1947-04-17,,
252069,滋賀県,シガケン,Shiga,,,,草津市,クサツシ,Kusatsu-shi,,,,1947-04-17,,
252077,滋賀県,シガケン,Shiga,,,,守山市,モリヤマシ,Moriyama-shi,,,,1947-04-17,,
252085,滋賀県,シガケン,Shiga,,,,栗東市,リットウシ,Ritto-shi,,,,1947-04-17,,
252093,滋賀県,シガケン,Shiga,,,,甲賀市,コウカシ,Koka-shi,,,,1947-04-17,,
252107,滋賀県,シガケン,Shiga,,,,野洲市,ヤスシ,Yasu-shi,,,,1947-04-17,,
252115,滋賀県,シガケン,Shiga,,,,湖南市,コナンシ,Konan-shi,,,,1947-04-17,,
252123,滋賀県,シガケン,Shiga,,,,高島市,タカシマシ,Takashima-shi,,,,1947-04-17,,
252131,滋賀県,シガケン,Shiga,,,,東近江市,ヒガシオウミシ,Higashiomi-shi,,,,1947-04-17,,
252140,滋賀県,シガケン,Shiga,,,,米原市,マイバラシ,Maibara-shi,,,,1947-04-17,,
253839,滋賀県,シガケン,Shiga,蒲生郡,ガモウグン,Gamo-gun,日野町,ヒノチョウ,Hino-cho,,,,1947-04-17,,
253847,滋賀県,シガケン,Shiga,蒲生郡,ガモウグン,Gamo-gun,竜王町,リュウオウチョウ,Ryuo-cho,,,,1947-04-17,,
254258,滋賀県,シガケン,Shiga,愛知郡,エチグン,Echi-gun,愛荘町,アイショウチョウ,Aisho-cho,,,,1947-04-17,,
254410,滋賀県,シガケン,Shiga,犬上郡,イヌカミグン,Inukami-gun,豊郷町,トヨサトチョウ,Toyosato-cho,,,,1947-04-17,,
254428,滋賀県,シガケン,Shiga,犬上郡,イヌカミグン,Inukami-gun,甲良町,コウラチョウ,Kora-cho,,,,1947-04-17,,
254436,滋賀県,シガケン,Shiga,犬上郡,イヌカミグン,Inukami-gun,多賀町,タガチョウ,Taga-cho,,,,1947-04-17,,
