町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,菊ノ尾通,キクノオトオリ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,康生通,コウセイトオリ,Koseitori,0,0,0,1,0,0,0,0,1947-04-17,,0 ,4510075,
0000103,3,,,,,,,上更通,カミサラトオリ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,藤ノ宮通,フジノミヤトオリ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,赤城町,アカシロチョウ,Akashirocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520813,
0002000,1,あし原町,アシハラチョウ,Ashiharacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520823,
0003001,2,天塚町,アマヅカチョウ,Amazukacho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,天塚町,アマヅカチョウ,Amazukacho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003003,2,天塚町,アマヅカチョウ,Amazukacho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003004,2,天塚町,アマヅカチョウ,Amazukacho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0004000,1,新木町,アラキチョウ,Arakicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520836,
0005000,1,市場木町,イチバギチョウ,Ichibagicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520805,
0007000,1,稲生町,イノウチョウ,Inocho,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,4510012,
0007001,2,稲生町,イノウチョウ,Inocho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007002,2,稲生町,イノウチョウ,Inocho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007003,2,稲生町,イノウチョウ,Inocho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007004,2,稲生町,イノウチョウ,Inocho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007005,2,稲生町,イノウチョウ,Inocho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007006,2,稲生町,イノウチョウ,Inocho,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007007,2,稲生町,イノウチョウ,Inocho,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007101,3,稲生町,イノウチョウ,Inocho,,,,字天塚,アザアマツカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007102,3,稲生町,イノウチョウ,Inocho,,,,字井桁東,アザイゲタヒガシ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007103,3,稲生町,イノウチョウ,Inocho,,,,字江向,アザエムカエ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007104,3,稲生町,イノウチョウ,Inocho,,,,字江西,アザエニシ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007105,3,稲生町,イノウチョウ,Inocho,,,,字三ツ井,アザミツイ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007106,3,稲生町,イノウチョウ,Inocho,,,,字三反池,アザサンタンイケ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007107,3,稲生町,イノウチョウ,Inocho,,,,字山王,アザサンノウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007108,3,稲生町,イノウチョウ,Inocho,,,,字前浪,アザマエナミ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007109,3,稲生町,イノウチョウ,Inocho,,,,字曽根,アザソネ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007110,3,稲生町,イノウチョウ,Inocho,,,,字大門,アザオオモン,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007111,3,稲生町,イノウチョウ,Inocho,,,,字酉新田,アザトリシンデン,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007112,3,稲生町,イノウチョウ,Inocho,,,,字又尾,アザマタオ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007113,3,稲生町,イノウチョウ,Inocho,,,,字杁先,アザイリサキ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0008000,1,浮野町,ウキノチョウ,Ukinocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520846,
0009000,1,牛島町,ウシジマチョウ,,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0010000,1,歌里町,ウタサトチョウ,Utasatocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520807,
0011001,2,江向町,エムカエチョウ,Emukaecho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0011002,2,江向町,エムカエチョウ,Emukaecho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0011003,2,江向町,エムカエチョウ,Emukaecho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0011004,2,江向町,エムカエチョウ,Emukaecho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0011005,2,江向町,エムカエチョウ,Emukaecho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0011006,2,江向町,エムカエチョウ,Emukaecho,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0012000,1,円明町,エンメイチョウ,Emmeicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,4520831,
0013001,2,大金町,オオカネチョウ,Okanecho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0013002,2,大金町,オオカネチョウ,Okanecho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0013003,2,大金町,オオカネチョウ,Okanecho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0013004,2,大金町,オオカネチョウ,Okanecho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0013005,2,大金町,オオカネチョウ,Okanecho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0014001,2,大野木,オオノギ,Onogi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0014002,2,大野木,オオノギ,Onogi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0014003,2,大野木,オオノギ,Onogi,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0014004,2,大野木,オオノギ,Onogi,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0014005,2,大野木,オオノギ,Onogi,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0015001,2,押切,オシキリ,Oshikiri,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0015002,2,押切,オシキリ,Oshikiri,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0016001,2,貝田町,カイダチョウ,Kaidacho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0016002,2,貝田町,カイダチョウ,Kaidacho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0017001,2,笠取町,カサトリチョウ,Kasatoricho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0017002,2,笠取町,カサトリチョウ,Kasatoricho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0017003,2,笠取町,カサトリチョウ,Kasatoricho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0017004,2,笠取町,カサトリチョウ,Kasatoricho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0018001,2,上小田井,カミオタイ,Kamiotai,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0018002,2,上小田井,カミオタイ,Kamiotai,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0019001,2,上名古屋,カミナゴヤ,Kaminagoya,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
