町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,岩屋,イワヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,脇田,ワイタ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,脇之浦,ワキノウラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,蜑住団地,アマズミダンチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001001,2,青葉台西,アオバダイニシ,Aobadai Nishi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0001002,2,青葉台西,アオバダイニシ,Aobadai Nishi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0001003,2,青葉台西,アオバダイニシ,Aobadai Nishi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0001004,2,青葉台西,アオバダイニシ,Aobadai Nishi,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0001005,2,青葉台西,アオバダイニシ,Aobadai Nishi,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0001006,2,青葉台西,アオバダイニシ,Aobadai Nishi,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0002001,2,青葉台東,アオバダイヒガシ,Aobadai Higashi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0002002,2,青葉台東,アオバダイヒガシ,Aobadai Higashi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003001,2,青葉台南,アオバダイミナミ,Aobadai Minami,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,青葉台南,アオバダイミナミ,Aobadai Minami,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003003,2,青葉台南,アオバダイミナミ,Aobadai Minami,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004000,1,赤岩町,アカイワマチ,,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0005000,1,赤崎町,アカサキマチ,Akasakimachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8080003,
0006000,1,赤島町,アカシママチ,Akashimamachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8080073,
0007001,2,今光,イマミツ,Imamitsu,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0007002,2,今光,イマミツ,Imamitsu,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0007003,2,今光,イマミツ,Imamitsu,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0008000,1,栄盛川町,エイセイガワマチ,Eiseigawamachi,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,8080014,
0009001,2,老松,オイマツ,Oimatsu,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0009002,2,老松,オイマツ,Oimatsu,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0010000,1,大字蜑住,オオアザアマスミ,Amasumi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080122,
0011000,1,大字有毛,オオアザアリゲ,Arige,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080123,
0012000,1,大字安瀬,オオアザアンセ,Anse,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080022,
0013000,1,大字安屋,オオアザアンヤ,Anya,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080124,
0014000,1,大字大鳥居,オオアザオオトリイ,Otorii,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080133,
0015000,1,大字小竹,オオアザオダケ,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0016000,1,大字乙丸,オオアザオトマル,Otomaru,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080134,
0017000,1,大字小石,オオアザコイシ,Koishi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080007,
0018000,1,大字小敷,オオアザコシキ,Koshiki,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080132,
0020000,1,大字修多羅,オオアザスタラ,Sutara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080053,
0021000,1,大字高須,オオアザタカス,Takasu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080148,
0022000,1,大字竹並,オオアザタケナミ,Takenami,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080121,
0023000,1,大字頓田,オオアザトンダ,Tonda,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8080112,
