全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
472018,0001001,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,古波蔵,コハグラ,Kohagura,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0001002,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,古波蔵,コハグラ,Kohagura,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0001003,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,古波蔵,コハグラ,Kohagura,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0001004,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,古波蔵,コハグラ,Kohagura,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0002001,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,真嘉比,マカビ,Makabi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0002002,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,真嘉比,マカビ,Makabi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0002003,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,真嘉比,マカビ,Makabi,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0003001,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,楚辺,ソベ,Sobe,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0003002,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,楚辺,ソベ,Sobe,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0003003,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,楚辺,ソベ,Sobe,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
472018,0004001,2,沖縄県,オキナワケン,Okinawa,,,,那覇市,ナハシ,Naha-shi,,,,宇栄原,ウエバル,Uebaru,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
