町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001000,1,相谷町,アイタニチョウ,Aitanicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370074,
0002000,1,居傳町,イデチョウ,Idecho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370013,
0003000,1,犬飼町,イヌカイチョウ,Inukaicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370072,
0004001,2,今井,イマイ,Imai,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004002,2,今井,イマイ,Imai,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004003,2,今井,イマイ,Imai,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004004,2,今井,イマイ,Imai,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004005,2,今井,イマイ,Imai,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0005000,1,今井町,イマイチョウ,Imaicho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370004,
0006000,1,宇野町,ウノチョウ,Unocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370003,
0007000,1,大澤町,オオサワチョウ,Ozawacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370077,
0008000,1,大津町,オオヅチョウ,Ozucho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370060,
0009000,1,大塔町宇井,オオトウチョウウイ,Otocho Ui,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370405,
0010000,1,大塔町小代,オオトウチョウコダイ,Otocho Kodai,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370416,
0011000,1,大塔町阪本,オオトウチョウサカモト,Otocho Sakamoto,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370417,
0012000,1,大塔町猿谷,オオトウチョウサルタニ,Otocho Sarutani,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370414,
0013000,1,大塔町篠原,オオトウチョウシノハラ,Otocho Shinohara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370401,
0014000,1,大塔町清水,オオトウチョウシミズ,Otocho Shimizu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370406,
0015000,1,大塔町簾,オオトウチョウスダレ,Otocho Sudare,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370419,
0016000,1,大塔町惣谷,オオトウチョウソウタニ,Otocho Sotani,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370402,
0017000,1,大塔町辻堂,オオトウチョウツジドウ,Otocho Tsujido,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,6370408,
0018000,1,大塔町堂平,オオトウチョウドウヒラ,Otocho Dohira,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370411,
0019000,1,大塔町唐笠,オオトウチョウトガサ,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0020000,1,大塔町閉君,オオトウチョウトジキミ,Otocho Tojikimi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370407,
0021000,1,大塔町殿野,オオトウチョウトノノ,Otocho Tonono,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370409,
0022000,1,大塔町中井傍示,オオトウチョウナカイホウジ,Otocho Nakaihoji,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370403,
0023000,1,大塔町中原,オオトウチョウナカバラ,Otocho Nakabara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370415,
0024000,1,大塔町中峯,オオトウチョウナカミネ,Otocho Nakamine,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370404,
0025000,1,大塔町引土,オオトウチョウヒキツチ,Otocho Hikitsuchi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370413,
0026000,1,大塔町飛養曽,オオトウチョウヒヨソ,Otocho Hiyoso,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370412,
0027000,1,大野新田町,オオノシンデンチョウ,Onoshindencho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370015,
0028000,1,大野町,オオノチョウ,Onocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370063,
0029000,1,大深町,オオブカチョウ,Obukacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370066,
0030001,2,岡口,オカグチ,Okaguchi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0030002,2,岡口,オカグチ,Okaguchi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0031000,1,岡町,オカチョウ,Okacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370092,
0032000,1,生子町,オブスチョウ,Obusucho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370053,
0033000,1,小和町,オワチョウ,Owacho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370019,
0034000,1,樫辻町,カシツジチョウ,Kashitsujicho,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,6370054,
0035000,1,釜窪町,カマノクボチョウ,Kamanokubocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370084,
0036000,1,上之町,カミノチョウ,Kaminocho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6370081,
