全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
151009,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,,,,1947-04-17,,
151017,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,北区,キタク,Kita-ku,1947-04-17,,
151025,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,東区,ヒガシク,Higashi-ku,1947-04-17,,
151033,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,中央区,チュウオウク,Chuo-ku,1947-04-17,,
151041,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,江南区,コウナンク,Konan-ku,1947-04-17,,
151050,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,秋葉区,アキハク,Akiha-ku,1947-04-17,,
151068,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,南区,ミナミク,Minami-ku,1947-04-17,,
151076,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,西区,ニシク,Nishi-ku,1947-04-17,,
151084,新潟県,ニイガタケン,Niigata,,,,新潟市,ニイガタシ,Niigata-shi,西蒲区,ニシカンク,Nishikan-ku,1947-04-17,,
152021,新潟県,ニイガタケン,Niigata,,,,長岡市,ナガオカシ,Nagaoka-shi,,,,1947-04-17,,
152048,新潟県,ニイガタケン,Niigata,,,,三条市,サンジョウシ,Sanjo-shi,,,,1947-04-17,,
152056,新潟県,ニイガタケン,Niigata,,,,柏崎市,カシワザキシ,Kashiwazaki-shi,,,,1947-04-17,,
152064,新潟県,ニイガタケン,Niigata,,,,新発田市,シバタシ,Shibata-shi,,,,1947-04-17,,
152081,新潟県,ニイガタケン,Niigata,,,,小千谷市,オヂヤシ,Ojiya-shi,,,,1947-04-17,,
152099,新潟県,ニイガタケン,Niigata,,,,加茂市,カモシ,Kamo-shi,,,,1947-04-17,,
152102,新潟県,ニイガタケン,Niigata,,,,十日町市,トオカマチシ,Tokamachi-shi,,,,1947-04-17,,
152111,新潟県,ニイガタケン,Niigata,,,,見附市,ミツケシ,Mitsuke-shi,,,,1947-04-17,,
152129,新潟県,ニイガタケン,Niigata,,,,村上市,ムラカミシ,Murakami-shi,,,,1947-04-17,,
152137,新潟県,ニイガタケン,Niigata,,,,燕市,ツバメシ,Tsubame-shi,,,,1947-04-17,,
152161,新潟県,ニイガタケン,Niigata,,,,糸魚川市,イトイガワシ,Itoigawa-shi,,,,1947-04-17,,
152170,新潟県,ニイガタケン,Niigata,,,,妙高市,ミョウコウシ,Myoko-shi,,,,1947-04-17,,
152188,新潟県,ニイガタケン,Niigata,,,,五泉市,ゴセンシ,Gosen-shi,,,,1947-04-17,,
152226,新潟県,ニイガタケン,Niigata,,,,上越市,ジョウエツシ,Joetsu-shi,,,,1947-04-17,,
152234,新潟県,ニイガタケン,Niigata,,,,阿賀野市,アガノシ,Agano-shi,,,,1947-04-17,,
152242,新潟県,ニイガタケン,Niigata,,,,佐渡市,サドシ,Sado-shi,,,,1947-04-17,,
152251,新潟県,ニイガタケン,Niigata,,,,魚沼市,ウオヌマシ,Uonuma-shi,,,,1947-04-17,,
152269,新潟県,ニイガタケン,Niigata,,,,南魚沼市,ミナミウオヌマシ,Minamiuonuma-shi,,,,1947-04-17,,
152277,新潟県,ニイガタケン,Niigata,,,,胎内市,タイナイシ,Tainai-shi,,,,1947-04-17,,
153079,新潟県,ニイガタケン,Niigata,北蒲原郡,キタカンバラグン,Kitakambara-gun,聖籠町,セイロウマチ,Seiro-machi,,,,1947-04-17,,
153427,新潟県,ニイガタケン,Niigata,西蒲原郡,ニシカンバラグン,Nishikambara-gun,弥彦村,ヤヒコムラ,Yahiko-mura,,,,1947-04-17,,
153613,新潟県,ニイガタケン,Niigata,南蒲原郡,ミナミカンバラグン,Minamikambara-gun,田上町,タガミマチ,Tagami-machi,,,,1947-04-17,,
153851,新潟県,ニイガタケン,Niigata,東蒲原郡,ヒガシカンバラグン,Higashikambara-gun,阿賀町,アガマチ,Aga-machi,,,,1947-04-17,,
154059,新潟県,ニイガタケン,Niigata,三島郡,サントウグン,Santo-gun,出雲崎町,イズモザキマチ,Izumozaki-machi,,,,1947-04-17,,
154610,新潟県,ニイガタケン,Niigata,南魚沼郡,ミナミウオヌマグン,Minamiuonuma-gun,湯沢町,ユザワマチ,Yuzawa-machi,,,,1947-04-17,,
154822,新潟県,ニイガタケン,Niigata,中魚沼郡,ナカウオヌマグン,Nakauonuma-gun,津南町,ツナンマチ,Tsunan-machi,,,,1947-04-17,,
155047,新潟県,ニイガタケン,Niigata,刈羽郡,カリワグン,Kariwa-gun,刈羽村,カリワムラ,Kariwa-mura,,,,1947-04-17,,
155811,新潟県,ニイガタケン,Niigata,岩船郡,イワフネグン,Iwafune-gun,関川村,セキカワムラ,Sekikawa-mura,,,,1947-04-17,,
155861,新潟県,ニイガタケン,Niigata,岩船郡,イワフネグン,Iwafune-gun,粟島浦村,アワシマウラムラ,Awashimaura-mura,,,,1947-04-17,,
