全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
032018,岩手県,イワテケン,Iwate,,,,盛岡市,モリオカシ,Morioka-shi,,,,1947-04-17,,
032026,岩手県,イワテケン,Iwate,,,,宮古市,ミヤコシ,Miyako-shi,,,,1947-04-17,,
032034,岩手県,イワテケン,Iwate,,,,大船渡市,オオフナトシ,Ofunato-shi,,,,1947-04-17,,
032051,岩手県,イワテケン,Iwate,,,,花巻市,ハナマキシ,Hanamaki-shi,,,,1947-04-17,,
032069,岩手県,イワテケン,Iwate,,,,北上市,キタカミシ,Kitakami-shi,,,,1947-04-17,,
032077,岩手県,イワテケン,Iwate,,,,久慈市,クジシ,Kuji-shi,,,,1947-04-17,,
032085,岩手県,イワテケン,Iwate,,,,遠野市,トオノシ,Tono-shi,,,,1947-04-17,,
032093,岩手県,イワテケン,Iwate,,,,一関市,イチノセキシ,Ichinoseki-shi,,,,1947-04-17,,
032107,岩手県,イワテケン,Iwate,,,,陸前高田市,リクゼンタカタシ,Rikuzentakata-shi,,,,1947-04-17,,
032115,岩手県,イワテケン,Iwate,,,,釜石市,カマイシシ,Kamaishi-shi,,,,1947-04-17,,
032131,岩手県,イワテケン,Iwate,,,,二戸市,ニノヘシ,Ninohe-shi,,,,1947-04-17,,
032140,岩手県,イワテケン,Iwate,,,,八幡平市,ハチマンタイシ,Hachimantai-shi,,,,1947-04-17,,
032158,岩手県,イワテケン,Iwate,,,,奥州市,オウシュウシ,Oshu-shi,,,,1947-04-17,,
032166,岩手県,イワテケン,Iwate,,,,滝沢市,タキザワシ,Takizawa-shi,,,,1947-04-17,,
033014,岩手県,イワテケン,Iwate,岩手郡,イワテグン,Iwate-gun,雫石町,シズクイシチョウ,Shizukuishi-cho,,,,1947-04-17,,
033022,岩手県,イワテケン,Iwate,岩手郡,イワテグン,Iwate-gun,葛巻町,クズマキマチ,Kuzumaki-machi,,,,1947-04-17,,
033031,岩手県,イワテケン,Iwate,岩手郡,イワテグン,Iwate-gun,岩手町,イワテマチ,Iwate-machi,,,,1947-04-17,,
033219,岩手県,イワテケン,Iwate,紫波郡,シワグン,Shiwa-gun,紫波町,シワチョウ,Shiwa-cho,,,,1947-04-17,,
033227,岩手県,イワテケン,Iwate,紫波郡,シワグン,Shiwa-gun,矢巾町,ヤハバチョウ,Yahaba-cho,,,,1947-04-17,,
033669,岩手県,イワテケン,Iwate,和賀郡,ワガグン,Waga-gun,西和賀町,ニシワガマチ,Nishiwaga-machi,,,,1947-04-17,,
033812,岩手県,イワテケン,Iwate,胆沢郡,イサワグン,Isawa-gun,金ケ崎町,カネガサキチョウ,Kanegasaki-cho,,,,1947-04-17,,
034029,岩手県,イワテケン,Iwate,西磐井郡,ニシイワイグン,Nishiiwai-gun,平泉町,ヒライズミチョウ,Hiraizumi-cho,,,,1947-04-17,,
034410,岩手県,イワテケン,Iwate,気仙郡,ケセングン,Kesen-gun,住田町,スミタチョウ,Sumita-cho,,,,1947-04-17,,
034614,岩手県,イワテケン,Iwate,上閉伊郡,カミヘイグン,Kamihei-gun,大槌町,オオツチチョウ,Otsuchi-cho,,,,1947-04-17,,
034827,岩手県,イワテケン,Iwate,下閉伊郡,シモヘイグン,Shimohei-gun,山田町,ヤマダマチ,Yamada-machi,,,,1947-04-17,,
034835,岩手県,イワテケン,Iwate,下閉伊郡,シモヘイグン,Shimohei-gun,岩泉町,イワイズミチョウ,Iwaizumi-cho,,,,1947-04-17,,
034843,岩手県,イワテケン,Iwate,下閉伊郡,シモヘイグン,Shimohei-gun,田野畑村,タノハタムラ,Tanohata-mura,,,,1947-04-17,,
034851,岩手県,イワテケン,Iwate,下閉伊郡,シモヘイグン,Shimohei-gun,普代村,フダイムラ,Fudai-mura,,,,1947-04-17,,
035017,岩手県,イワテケン,Iwate,九戸郡,クノヘグン,Kunohe-gun,軽米町,カルマイマチ,Karumai-machi,,,,1947-04-17,,
035033,岩手県,イワテケン,Iwate,九戸郡,クノヘグン,Kunohe-gun,野田村,ノダムラ,Noda-mura,,,,1947-04-17,,
035068,岩手県,イワテケン,Iwate,九戸郡,クノヘグン,Kunohe-gun,九戸村,クノヘムラ,Kunohe-mura,,,,1947-04-17,,
035076,岩手県,イワテケン,Iwate,九戸郡,クノヘグン,Kunohe-gun,洋野町,ヒロノチョウ,Hirono-cho,,,,1947-04-17,,
035246,岩手県,イワテケン,Iwate,二戸郡,ニノヘグン,Ninohe-gun,一戸町,イチノヘマチ,Ichinohe-machi,,,,1947-04-17,,
