町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001001,2,三番町,サンバンチョウ,Sambancho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001002,2,三番町,サンバンチョウ,Sambancho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001003,2,三番町,サンバンチョウ,Sambancho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001004,2,三番町,サンバンチョウ,Sambancho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001005,2,三番町,サンバンチョウ,Sambancho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002001,2,四番町,ヨンバンチョウ,Yombancho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002002,2,四番町,ヨンバンチョウ,Yombancho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002003,2,四番町,ヨンバンチョウ,Yombancho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002004,2,四番町,ヨンバンチョウ,Yombancho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002005,2,四番町,ヨンバンチョウ,Yombancho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002006,2,四番町,ヨンバンチョウ,Yombancho,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002007,2,四番町,ヨンバンチョウ,Yombancho,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002008,2,四番町,ヨンバンチョウ,Yombancho,八丁目,８チョウメ,8,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003001,2,長田町,ナガタチョウ,Nagatacho,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,長田町,ナガタチョウ,Nagatacho,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003003,2,長田町,ナガタチョウ,Nagatacho,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003004,2,長田町,ナガタチョウ,Nagatacho,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003005,2,長田町,ナガタチョウ,Nagatacho,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003006,2,長田町,ナガタチョウ,Nagatacho,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003007,2,長田町,ナガタチョウ,Nagatacho,七丁目,７チョウメ,7,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003008,2,長田町,ナガタチョウ,Nagatacho,八丁目,８チョウメ,8,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0003009,2,長田町,ナガタチョウ,Nagatacho,九丁目,９チョウメ,9,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004001,2,上池田,カミイケダ,Kamiikeda,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004002,2,上池田,カミイケダ,Kamiikeda,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004003,2,上池田,カミイケダ,Kamiikeda,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004004,2,上池田,カミイケダ,Kamiikeda,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004005,2,上池田,カミイケダ,Kamiikeda,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0004006,2,上池田,カミイケダ,Kamiikeda,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
0005002,2,池田谷町,イケダタニマチ,Ikeda Tanimachi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0005004,2,池田谷町,イケダタニマチ,Ikeda Tanimachi,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006001,2,五番町,ゴバンチョウ,Gobancho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006002,2,五番町,ゴバンチョウ,Gobancho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006003,2,五番町,ゴバンチョウ,Gobancho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006004,2,五番町,ゴバンチョウ,Gobancho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006005,2,五番町,ゴバンチョウ,Gobancho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006006,2,五番町,ゴバンチョウ,Gobancho,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006007,2,五番町,ゴバンチョウ,Gobancho,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0006008,2,五番町,ゴバンチョウ,Gobancho,八丁目,８チョウメ,8,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007001,2,六番町,ロクバンチョウ,Rokubancho,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007002,2,六番町,ロクバンチョウ,Rokubancho,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007003,2,六番町,ロクバンチョウ,Rokubancho,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007004,2,六番町,ロクバンチョウ,Rokubancho,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007005,2,六番町,ロクバンチョウ,Rokubancho,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007006,2,六番町,ロクバンチョウ,Rokubancho,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007007,2,六番町,ロクバンチョウ,Rokubancho,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0007008,2,六番町,ロクバンチョウ,Rokubancho,八丁目,８チョウメ,8,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0008001,2,大塚町,オオツカチョウ,Otsukacho,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008002,2,大塚町,オオツカチョウ,Otsukacho,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008003,2,大塚町,オオツカチョウ,Otsukacho,三丁目,３チョウメ,3,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008004,2,大塚町,オオツカチョウ,Otsukacho,四丁目,４チョウメ,4,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008005,2,大塚町,オオツカチョウ,Otsukacho,五丁目,５チョウメ,5,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008006,2,大塚町,オオツカチョウ,Otsukacho,六丁目,６チョウメ,6,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008007,2,大塚町,オオツカチョウ,Otsukacho,七丁目,７チョウメ,7,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008008,2,大塚町,オオツカチョウ,Otsukacho,八丁目,８チョウメ,8,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0008009,2,大塚町,オオツカチョウ,Otsukacho,九丁目,９チョウメ,9,,,,1,1,0,0,0,0,0,0,1947-04-17,,0 ,,
0009000,1,池田広町,イケダヒロマチ,Ikeda Hiromachi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6530814,
