町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,安井,ヤスイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,塩屋,シオヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,横田丁,ヨコタチョウ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000104,3,,,,,,,岡田,オカダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000105,3,,,,,,,沖台,オキダイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000106,3,,,,,,,河原,カワハラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000107,3,,,,,,,賀佐,カサ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000108,3,,,,,,,外側,トガワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000109,3,,,,,,,玉生,タモウ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000110,3,,,,,,,原田,ハラダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000111,3,,,,,,,江川,エガワ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000112,3,,,,,,,三軒屋,サンゲンヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000113,3,,,,,,,社宅,シャタク,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000114,3,,,,,,,宗意原,ソイバラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000115,3,,,,,,,上沖,カミオキ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000116,3,,,,,,,新立,シンダテ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000117,3,,,,,,,神崎,カンザキ,Kanzaki,0,0,0,1,0,0,0,0,1947-04-17,,0 ,7913161,
0000118,3,,,,,,,西組,ニシグミ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000119,3,,,,,,,泉屋,イズミヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000120,3,,,,,,,大下,オオシモ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000121,3,,,,,,,中組,ナカグミ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000122,3,,,,,,,土手,ドテ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000123,3,,,,,,,東組,ヒガシグミ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000124,3,,,,,,,北ノ丁,キタノチョウ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000125,3,,,,,,,北川原,キタガワラ,Kitagawara,0,0,0,1,0,0,0,0,1947-04-17,,0 ,7913131,
0000126,3,,,,,,,本村,ホンムラ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,大字恵久美,オオアザエクビ,Ekubi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913141,
0002000,1,大字大溝,オオアザオオミゾ,Omizo,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913153,
0003000,1,大字上高柳,オオアザカミタカヤナギ,Kamitakayanagi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913142,
0004000,1,大字神崎,オオアザカンザキ,Kanzaki,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913161,
0005000,1,大字北川原,オオアザキタガワラ,Kitagawara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913131,
0006000,1,大字北黒田,オオアザキタクロダ,Kitakuroda,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913102,
0007000,1,大字出作,オオアザシュッサク,Shutsusaku,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913162,
0008000,1,大字昌農内,オオアザショウノウチ,Shonochi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913133,
0009000,1,大字大間,オオアザダイマ,Daima,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913143,
0010000,1,大字筒井,オオアザツツイ,Tsutsui,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913120,
0011000,1,大字鶴吉,オオアザツルヨシ,Tsuruyoshi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913155,
0012000,1,大字徳丸,オオアザトクマル,Tokumaru,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913163,
0013000,1,大字中川原,オオアザナカガワラ,Nakagawara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913164,
0014000,1,大字永田,オオアザナガタ,Nagata,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913152,
0015000,1,大字西古泉,オオアザニシコイズミ,Nishikoizumi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913134,
0016000,1,大字西高柳,オオアザニシタカヤナギ,Nishitakayanagi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913132,
0017000,1,大字浜,オオアザハマ,Hama,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913110,
0018000,1,大字東古泉,オオアザヒガシコイズミ,Higashikoizumi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913151,
0019000,1,大字南黒田,オオアザミナミクロダ,Minamikuroda,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913101,
0020000,1,大字横田,オオアザヨコタ,Yokota,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7913154,
