全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
431001,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,,,,1947-04-17,,
431010,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,中央区,チュウオウク,Chuo-ku,1947-04-17,,
431028,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,東区,ヒガシク,Higashi-ku,1947-04-17,,
431036,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,西区,ニシク,Nishi-ku,1947-04-17,,
431044,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,南区,ミナミク,Minami-ku,1947-04-17,,
431052,熊本県,クマモトケン,Kumamoto,,,,熊本市,クマモトシ,Kumamoto-shi,北区,キタク,Kita-ku,1947-04-17,,
432024,熊本県,クマモトケン,Kumamoto,,,,八代市,ヤツシロシ,Yatsushiro-shi,,,,1947-04-17,,
432032,熊本県,クマモトケン,Kumamoto,,,,人吉市,ヒトヨシシ,Hitoyoshi-shi,,,,1947-04-17,,
432041,熊本県,クマモトケン,Kumamoto,,,,荒尾市,アラオシ,Arao-shi,,,,1947-04-17,,
432059,熊本県,クマモトケン,Kumamoto,,,,水俣市,ミナマタシ,Minamata-shi,,,,1947-04-17,,
432067,熊本県,クマモトケン,Kumamoto,,,,玉名市,タマナシ,Tamana-shi,,,,1947-04-17,,
432083,熊本県,クマモトケン,Kumamoto,,,,山鹿市,ヤマガシ,Yamaga-shi,,,,1947-04-17,,
432105,熊本県,クマモトケン,Kumamoto,,,,菊池市,キクチシ,Kikuchi-shi,,,,1947-04-17,,
432113,熊本県,クマモトケン,Kumamoto,,,,宇土市,ウトシ,Uto-shi,,,,1947-04-17,,
432121,熊本県,クマモトケン,Kumamoto,,,,上天草市,カミアマクサシ,Kamiamakusa-shi,,,,1947-04-17,,
432130,熊本県,クマモトケン,Kumamoto,,,,宇城市,ウキシ,Uki-shi,,,,1947-04-17,,
432148,熊本県,クマモトケン,Kumamoto,,,,阿蘇市,アソシ,Aso-shi,,,,1947-04-17,,
432156,熊本県,クマモトケン,Kumamoto,,,,天草市,アマクサシ,Amakusa-shi,,,,1947-04-17,,
432164,熊本県,クマモトケン,Kumamoto,,,,合志市,コウシシ,Koshi-shi,,,,1947-04-17,,
433489,熊本県,クマモトケン,Kumamoto,下益城郡,シモマシキグン,Shimomashiki-gun,美里町,ミサトマチ,Misato-machi,,,,1947-04-17,,
433641,熊本県,クマモトケン,Kumamoto,玉名郡,タマナグン,Tamana-gun,玉東町,ギョクトウマチ,Gyokuto-machi,,,,1947-04-17,,
433675,熊本県,クマモトケン,Kumamoto,玉名郡,タマナグン,Tamana-gun,南関町,ナンカンマチ,Nankan-machi,,,,1947-04-17,,
433683,熊本県,クマモトケン,Kumamoto,玉名郡,タマナグン,Tamana-gun,長洲町,ナガスマチ,Nagasu-machi,,,,1947-04-17,,
433691,熊本県,クマモトケン,Kumamoto,玉名郡,タマナグン,Tamana-gun,和水町,ナゴミマチ,Nagomi-machi,,,,1947-04-17,,
434035,熊本県,クマモトケン,Kumamoto,菊池郡,キクチグン,Kikuchi-gun,大津町,オオヅマチ,Ozu-machi,,,,1947-04-17,,
