町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0001001,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001002,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001003,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001004,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001005,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001006,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001007,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001008,2,朝倉台西,アサクラダイニシ,Asakuradai Nishi,八丁目,８チョウメ,8,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002001,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002002,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002003,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,三丁目,３チョウメ,3,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002004,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,四丁目,４チョウメ,4,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002005,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,五丁目,５チョウメ,5,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002006,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,六丁目,６チョウメ,6,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002007,2,朝倉台東,アサクラダイヒガシ,Asakuradai Higashi,七丁目,７チョウメ,7,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003001,2,安倍木材団地,アベモクザイダンチ,Abemokuzaidanchi,一丁目,１チョウメ,1,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003002,2,安倍木材団地,アベモクザイダンチ,Abemokuzaidanchi,二丁目,２チョウメ,2,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0004000,1,大字赤尾,オオアザアカオ,Akao,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330006,
0005000,1,大字浅古,オオアザアサゴ,Asago,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330052,
0006000,1,大字穴師,オオアザアナシ,Anashi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330071,
0007000,1,大字阿部,オオアザアベ,Abe,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330054,
0008000,1,大字飯盛塚,オオアザイイモリヅカ,Iimorizuka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330026,
0009000,1,大字池之内,オオアザイケノウチ,Ikenochi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330046,
0010000,1,大字出雲,オオアザイズモ,Izumo,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330122,
0011000,1,大字今井谷,オオアザイマイダニ,Imaidani,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330035,
0012000,1,大字岩坂,オオアザイワサカ,Iwasaka,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330013,
0013000,1,大字上之宮,オオアザウエノミヤ,Uenomiya,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330041,
0014000,1,大字江包,オオアザエツツミ,Etsutsumi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330086,
0015000,1,大字大泉,オオアザオイズミ,Oizumi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330076,
0016000,1,大字生田,オオアザオイダ,Oida,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330048,
0017000,1,大字太田,オオアザオオタ,Ota,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330084,
0018000,1,大字粟殿,オオアザオオドノ,Odono,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330062,
0019000,1,大字大西,オオアザオオニシ,Onishi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330077,
0020000,1,大字粟原,オオアザオオバラ,Obara,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330014,
0021000,1,大字小夫,オオアザオオブ,Obu,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330101,
0022000,1,大字小夫嵩方,オオアザオオブダケホウ,Obudakeho,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,6330103,
