全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,効力発生日,廃止日,備考
202011,長野県,ナガノケン,Nagano,,,,長野市,ナガノシ,Nagano-shi,,,,1947-04-17,,
202029,長野県,ナガノケン,Nagano,,,,松本市,マツモトシ,Matsumoto-shi,,,,1947-04-17,,
202037,長野県,ナガノケン,Nagano,,,,上田市,ウエダシ,Ueda-shi,,,,1947-04-17,,
202045,長野県,ナガノケン,Nagano,,,,岡谷市,オカヤシ,Okaya-shi,,,,1947-04-17,,
202053,長野県,ナガノケン,Nagano,,,,飯田市,イイダシ,Iida-shi,,,,1947-04-17,,
202061,長野県,ナガノケン,Nagano,,,,諏訪市,スワシ,Suwa-shi,,,,1947-04-17,,
202070,長野県,ナガノケン,Nagano,,,,須坂市,スザカシ,Suzaka-shi,,,,1947-04-17,,
202088,長野県,ナガノケン,Nagano,,,,小諸市,コモロシ,Komoro-shi,,,,1947-04-17,,
202096,長野県,ナガノケン,Nagano,,,,伊那市,イナシ,Ina-shi,,,,1947-04-17,,
202100,長野県,ナガノケン,Nagano,,,,駒ヶ根市,コマガネシ,Komagane-shi,,,,1947-04-17,,
202118,長野県,ナガノケン,Nagano,,,,中野市,ナカノシ,Nakano-shi,,,,1947-04-17,,
202126,長野県,ナガノケン,Nagano,,,,大町市,オオマチシ,Omachi-shi,,,,1947-04-17,,
202134,長野県,ナガノケン,Nagano,,,,飯山市,イイヤマシ,Iiyama-shi,,,,1947-04-17,,
202142,長野県,ナガノケン,Nagano,,,,茅野市,チノシ,Chino-shi,,,,1947-04-17,,
202151,長野県,ナガノケン,Nagano,,,,塩尻市,シオジリシ,Shiojiri-shi,,,,1947-04-17,,
202177,長野県,ナガノケン,Nagano,,,,佐久市,サクシ,Saku-shi,,,,1947-04-17,,
202185,長野県,ナガノケン,Nagano,,,,千曲市,チクマシ,Chikuma-shi,,,,1947-04-17,,
202193,長野県,ナガノケン,Nagano,,,,東御市,トウミシ,Tomi-shi,,,,1947-04-17,,
202207,長野県,ナガノケン,Nagano,,,,安曇野市,アヅミノシ,Azumino-shi,,,,1947-04-17,,
203033,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,小海町,コウミマチ,Komi-machi,,,,1947-04-17,,
203041,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,川上村,カワカミムラ,Kawakami-mura,,,,1947-04-17,,
203050,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,南牧村,ミナミマキムラ,Minamimaki-mura,,,,1947-04-17,,
203068,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,南相木村,ミナミアイキムラ,Minamiaiki-mura,,,,1947-04-17,,
203076,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,北相木村,キタアイキムラ,Kitaaiki-mura,,,,1947-04-17,,
203092,長野県,ナガノケン,Nagano,南佐久郡,ミナミサクグン,Minamisaku-gun,佐久穂町,サクホマチ,Sakuho-machi,,,,1947-04-17,,
203211,長野県,ナガノケン,Nagano,北佐久郡,キタサクグン,Kitasaku-gun,軽井沢町,カルイザワマチ,Karuizawa-machi,,,,1947-04-17,,
203238,長野県,ナガノケン,Nagano,北佐久郡,キタサクグン,Kitasaku-gun,御代田町,ミヨタマチ,Miyota-machi,,,,1947-04-17,,
203246,長野県,ナガノケン,Nagano,北佐久郡,キタサクグン,Kitasaku-gun,立科町,タテシナマチ,Tateshina-machi,,,,1947-04-17,,
203491,長野県,ナガノケン,Nagano,小県郡,チイサガタグン,Chiisagata-gun,青木村,アオキムラ,Aoki-mura,,,,1947-04-17,,
203505,長野県,ナガノケン,Nagano,小県郡,チイサガタグン,Chiisagata-gun,長和町,ナガワマチ,Nagawa-machi,,,,1947-04-17,,
203611,長野県,ナガノケン,Nagano,諏訪郡,スワグン,Suwa-gun,下諏訪町,シモスワマチ,Shimosuwa-machi,,,,1947-04-17,,
203629,長野県,ナガノケン,Nagano,諏訪郡,スワグン,Suwa-gun,富士見町,フジミマチ,Fujimi-machi,,,,1947-04-17,,
203637,長野県,ナガノケン,Nagano,諏訪郡,スワグン,Suwa-gun,原村,ハラムラ,Hara-mura,,,,1947-04-17,,
203823,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,辰野町,タツノマチ,Tatsuno-machi,,,,1947-04-17,,
203831,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,箕輪町,ミノワマチ,Minowa-machi,,,,1947-04-17,,
203840,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,飯島町,イイジママチ,Iijima-machi,,,,1947-04-17,,
203858,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,南箕輪村,ミナミミノワムラ,Minamiminowa-mura,,,,1947-04-17,,
203866,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,中川村,ナカガワムラ,Nakagawa-mura,,,,1947-04-17,,
203882,長野県,ナガノケン,Nagano,上伊那郡,カミイナグン,Kamiina-gun,宮田村,ミヤダムラ,Miyada-mura,,,,1947-04-17,,
204021,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,松川町,マツカワマチ,Matsukawa-machi,,,,1947-04-17,,
204030,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,高森町,タカモリマチ,Takamori-machi,,,,1947-04-17,,
204048,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,阿南町,アナンチョウ,Anan-cho,,,,1947-04-17,,
204072,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,阿智村,アチムラ,Achi-mura,,,,1947-04-17,,
204099,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,平谷村,ヒラヤムラ,Hiraya-mura,,,,1947-04-17,,
204102,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,根羽村,ネバムラ,Neba-mura,,,,1947-04-17,,
204111,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,下條村,シモジョウムラ,Shimojo-mura,,,,1947-04-17,,
204129,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,売木村,ウルギムラ,Urugi-mura,,,,1947-04-17,,
204137,長野県,ナガノケン,Nagano,下伊那郡,シモイナグン,Shimoina-gun,天龍村,テンリュウムラ,Tenryu-mura,,,,1947-04-17,,
