町字id,町字区分コード,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
0000101,3,,,,,,,高田,タカダ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000102,3,,,,,,,新町,シンマチ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0000103,3,,,,,,,東光寺,トウコウジ,Tokoji,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0381101,
0000104,3,,,,,,,堂野前,ドウノマエ,Donomae,0,0,0,1,0,0,0,0,1947-04-17,,0 ,0381102,
0000105,3,,,,,,,二津屋,フタツヤ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
0001000,1,大字和泉,オオアザイズミ,Izumi,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,0381142,
0001101,3,大字和泉,オオアザイズミ,Izumi,,,,字岡本,アザオカモト,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001102,3,大字和泉,オオアザイズミ,Izumi,,,,字下種本,アザシモタネモト,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001103,3,大字和泉,オオアザイズミ,Izumi,,,,字下福岡,アザシモフクオカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001104,3,大字和泉,オオアザイズミ,Izumi,,,,字上種本,アザカミタネモト,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001105,3,大字和泉,オオアザイズミ,Izumi,,,,字上福岡,アザカミフクオカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001106,3,大字和泉,オオアザイズミ,Izumi,,,,字早稲岡,アザワセオカ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0001107,3,大字和泉,オオアザイズミ,Izumi,,,,字早稲田,アザワセダ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002000,1,大字田舎舘,オオアザイナカダテ,Inakadate,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,0381113,
0002101,3,大字田舎舘,オオアザイナカダテ,Inakadate,,,,字菊助,アザキクスケ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002102,3,大字田舎舘,オオアザイナカダテ,Inakadate,,,,字松橋,アザマツハシ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002103,3,大字田舎舘,オオアザイナカダテ,Inakadate,,,,字前川,アザマエカワ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002104,3,大字田舎舘,オオアザイナカダテ,Inakadate,,,,字前田,アザマエダ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0002105,3,大字田舎舘,オオアザイナカダテ,Inakadate,,,,字東田,アザヒガシダ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003000,1,大字枝川,オオアザエダガワ,Edagawa,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,0381104,
0003101,3,大字枝川,オオアザエダガワ,Edagawa,,,,字相野,アザアイノ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003102,3,大字枝川,オオアザエダガワ,Edagawa,,,,字舘子,アザタデコ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003103,3,大字枝川,オオアザエダガワ,Edagawa,,,,字狐森,アザキツネモリ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003104,3,大字枝川,オオアザエダガワ,Edagawa,,,,字川原田,アザカワラダ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
0003105,3,大字枝川,オオアザエダガワ,Edagawa,,,,字川部,アザカワベ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
